frame,micro_div,d_momx,d_momy,d_ke,d_comx,rand_00,rand_01,rand_02,rand_03,rand_04,rand_05,rand_06,rand_07,rand_08,rand_09,rand_10,rand_11,rand_12,rand_13,rand_14,rand_15,rand_16,rand_17,rand_18,rand_19,rand_20,rand_21,rand_22,rand_23,rand_24,rand_25,rand_26,rand_27,rand_28,rand_29,rand_30,rand_31,rand_32,rand_33,rand_34,rand_35,rand_36,rand_37,rand_38,rand_39,rand_40,rand_41,rand_42,rand_43,rand_44,rand_45,rand_46,rand_47,rand_48,rand_49,rand_50,rand_51,rand_52,rand_53,rand_54,rand_55,rand_56,rand_57,rand_58,rand_59,rand_60,rand_61,rand_62,rand_63,join,only_a,only_b
10,1.671619358e-2,2.279655185e-5,3.977732025e-5,2.512524140e-4,3.675792192e-9,2.317213551e-1,3.677954957e-1,5.062997032e-1,5.352723178e-1,2.676272098e-1,2.803012550e-1,5.419139096e-1,4.331229032e-1,6.157032219e-1,1.772580080e-1,6.594815189e-1,7.550308550e-1,7.221280458e-1,6.740283963e-1,5.130595419e-1,2.773539451e-1,2.360642647e-1,4.611879280e-1,5.651796110e-1,2.413563250e-1,6.090737911e-1,5.556088592e-1,4.889710457e-1,3.314272957e-1,3.067970956e-1,6.136834865e-1,2.769600662e-1,3.857749265e-1,6.603350532e-1,3.374071686e-1,3.529139779e-1,2.612979945e-1,3.816338899e-1,4.172884008e-1,2.807924098e-1,3.987498718e-1,6.248345073e-1,4.277473853e-1,4.667396840e-1,3.291249786e-1,7.674615597e-1,3.170475058e-1,5.196260740e-1,4.328830243e-1,2.825196838e-1,2.962627967e-1,4.842459790e-1,7.163998960e-1,1.411770697e-1,2.914772761e-1,5.077151791e-1,4.375208058e-1,3.764790285e-1,2.663021760e-1,6.458796310e-1,4.737698827e-1,8.451324347e-1,8.173175298e-1,6.222552939e-1,2.786247290e-1,2.121746559e-1,5.098213062e-1,5.109392067e-1,5.991319666e-1,118283,0,0
11,1.675253566e-2,2.194080429e-5,4.977528894e-5,1.588188887e-4,4.203145587e-9,1.932241569e-1,2.703455245e-1,3.405607002e-1,2.600270312e-1,2.499679923e-1,2.557038255e-1,4.319737978e-1,4.074937116e-1,5.617342695e-1,1.750525692e-1,5.050430891e-1,5.054375469e-1,4.775908348e-1,5.391347829e-1,4.805108841e-1,2.802028859e-1,2.182155863e-1,3.151412387e-1,3.974915683e-1,2.294789279e-1,4.627524138e-1,4.419376105e-1,4.099517300e-1,2.908109187e-1,1.490154317e-1,5.795765689e-1,2.686811477e-1,1.788424844e-1,3.844054689e-1,3.514779548e-1,3.163616293e-1,9.708434875e-2,3.896995089e-1,3.972054773e-1,1.884007207e-1,3.852027673e-1,6.259729610e-1,4.265692735e-1,3.023189578e-1,2.707904155e-1,5.481454596e-1,2.431651689e-1,4.419583302e-1,3.106308427e-1,2.347610564e-1,1.757602732e-1,4.350902130e-1,4.131343185e-1,1.645670929e-1,2.818418267e-1,3.943381489e-1,4.331826794e-1,3.720643403e-1,2.640516809e-1,3.985896153e-1,4.753319199e-1,6.525555654e-1,6.138741066e-1,4.833328787e-1,1.962591025e-1,2.177699218e-1,4.730689856e-1,4.957368021e-1,4.073076526e-1,118283,0,0
12,1.678312362e-2,2.187372483e-5,5.167337601e-5,3.841118675e-6,4.721387650e-9,2.182259192e-1,3.171309392e-1,2.358071490e-1,3.465826866e-1,2.611855453e-1,2.710682315e-1,5.667356007e-1,4.447838753e-1,5.404788463e-1,4.199477840e-1,3.970044686e-1,2.125205546e-1,4.019480583e-1,4.146940399e-1,5.163195859e-1,2.929044296e-1,3.111018324e-1,1.476464386e-1,1.198437706e-1,2.262387117e-1,4.965630013e-1,3.930371790e-1,4.219382061e-1,3.715243007e-1,3.218084923e-1,5.761125966e-1,2.571323917e-1,2.915455524e-1,3.509377695e-1,4.935801997e-1,4.225625977e-1,3.652840922e-1,5.379336214e-1,4.154192969e-1,3.848325414e-1,4.432056953e-1,6.584863791e-1,6.968002014e-1,1.242461452e-1,3.725741618e-1,3.335010494e-1,2.590722736e-1,4.546356914e-1,8.923705978e-2,2.883825862e-1,4.218627824e-2,5.427946570e-1,4.644725929e-1,2.933581261e-1,2.910383534e-1,4.962879431e-1,4.601189032e-1,3.837564591e-1,3.340147237e-1,3.120869573e-1,4.887387043e-1,4.737115027e-1,4.336982964e-1,3.392467788e-1,4.375770758e-2,2.578758111e-1,4.894206984e-1,5.814785621e-1,3.321106529e-1,118283,0,0
13,1.744099710e-2,2.197682490e-5,7.526807460e-5,1.447629040e-4,5.239832693e-9,3.516911259e-1,6.067723383e-1,4.939956903e-1,1.036393998e0,3.216238610e-1,4.537325118e-1,1.085302526e0,5.521683319e-1,5.536147615e-1,8.472501169e-1,6.078727161e-1,5.787812249e-1,9.870035166e-1,3.833938290e-1,6.359686197e-1,3.214904672e-1,4.909590090e-1,1.003999080e-1,1.940905984e-1,2.507024567e-1,9.749772584e-1,4.585310386e-1,6.422431378e-1,5.774123944e-1,8.038227255e-1,6.235817112e-1,2.621176183e-1,7.913819329e-1,1.098304560e0,8.154549342e-1,6.639052641e-1,9.391256430e-1,8.433670447e-1,4.995783162e-1,8.830768872e-1,5.915368626e-1,7.334237961e-1,1.288185646e0,4.460556914e-2,6.792791492e-1,6.604429207e-1,3.678629983e-1,5.813413751e-1,1.214527575e-1,4.393101535e-1,2.545776562e-1,9.540880272e-1,1.319224235e0,5.155506930e-1,3.202551448e-1,1.009804245e0,5.316680384e-1,4.116750135e-1,4.742578604e-1,9.339224916e-1,5.122305169e-1,5.794749669e-1,7.327241279e-1,4.139839512e-1,1.130406728e-1,3.448467803e-1,5.771651523e-1,7.854733624e-1,7.325320819e-1,118283,0,0
14,1.811334390e-2,2.163037111e-5,9.916196720e-5,2.689375162e-4,5.756138252e-9,4.861483957e-1,8.936987150e-1,7.671350409e-1,1.643895569e0,3.799101221e-1,6.428413045e-1,1.588548904e0,6.434346224e-1,4.963174145e-1,1.244257332e0,8.610042227e-1,9.772881114e-1,1.548488314e0,3.415376191e-1,7.349041100e-1,3.179660526e-1,6.685449236e-1,1.533898469e-1,4.022021583e-1,2.695421536e-1,1.448752359e0,5.331863753e-1,8.719289457e-1,7.792067868e-1,1.238967772e0,6.101888757e-1,2.387132868e-1,1.240293628e0,1.761752755e0,1.122437034e0,9.002836130e-1,1.449297940e0,1.139137970e0,5.702648444e-1,1.336354894e0,7.218711509e-1,7.409187798e-1,1.847117449e0,9.546746815e-2,9.753334146e-1,1.041184607e0,4.780848247e-1,6.985389272e-1,2.812176995e-1,5.858688670e-1,4.386987694e-1,1.354685519e0,2.087351619e0,7.253992421e-1,3.294702736e-1,1.500516525e0,5.731774853e-1,3.820199572e-1,6.122140670e-1,1.499644840e0,4.586422775e-1,7.555726428e-1,1.093162568e0,5.393155860e-1,2.338197324e-1,4.243329512e-1,6.429109881e-1,9.764880579e-1,1.135228210e0,118283,0,0
15,1.881322295e-2,2.089431507e-5,3.756739580e-5,3.329906228e-4,6.258382933e-9,5.581238012e-1,1.072269780e0,9.230850570e-1,1.982726243e0,4.246256887e-1,7.792250027e-1,1.892523384e0,7.330851897e-1,4.459718830e-1,1.492075041e0,1.021531259e0,1.199220507e0,1.868596452e0,3.229529091e-1,8.180600610e-1,3.074166091e-1,8.071034329e-1,1.817783886e-1,5.148900049e-1,2.760056998e-1,1.732534246e0,6.076285848e-1,1.002207220e0,9.146550268e-1,1.484074721e0,5.880171151e-1,2.149854188e-1,1.501355020e0,2.145209175e0,1.313997563e0,1.066523421e0,1.757933210e0,1.350211264e0,6.222855212e-1,1.615144023e0,8.118134614e-1,7.454381352e-1,2.200413662e0,1.221799400e-1,1.155086590e0,1.256235417e0,5.741924013e-1,7.965684034e-1,3.682712817e-1,6.954010929e-1,5.491458547e-1,1.615813095e0,2.541540464e0,8.569881052e-1,3.485460262e-1,1.804519747e0,6.028866328e-1,3.635554581e-1,7.202462451e-1,1.814348926e0,4.078333149e-1,8.585757009e-1,1.308583658e0,6.157876301e-1,2.924302774e-1,4.784208225e-1,7.007897711e-1,1.126677274e0,1.355446360e0,118283,0,0
16,1.929008908e-2,2.122134039e-5,2.051032777e-4,3.445266245e-4,6.756339148e-9,5.667703150e-1,1.137992945e0,9.641802421e-1,2.064888961e0,4.495029317e-1,8.540540439e-1,1.991143843e0,8.078406097e-1,4.714306977e-1,1.582480557e0,1.081778231e0,1.256796285e0,1.954583893e0,3.438892783e-1,8.755560778e-1,3.111763567e-1,8.888567036e-1,1.746702826e-1,5.440550305e-1,2.758636445e-1,1.824074560e0,6.607240119e-1,1.030140239e0,9.688225938e-1,1.543924025e0,6.028514222e-1,2.209385625e-1,1.578796869e0,2.259651670e0,1.380845988e0,1.144630137e0,1.864331321e0,1.458111638e0,6.594991942e-1,1.715006628e0,8.517603807e-1,7.793311997e-1,2.333520118e0,1.086054064e-1,1.213050988e0,1.309722373e0,6.386495506e-1,8.576364980e-1,3.939346189e-1,7.529893009e-1,5.902834699e-1,1.724650844e0,2.689179488e0,9.029831632e-1,3.833988303e-1,1.915166557e0,6.286504867e-1,3.937755028e-1,7.837404281e-1,1.891276655e0,4.251834222e-1,8.806615027e-1,1.375593284e0,6.344153666e-1,2.986806487e-1,5.033977619e-1,7.470316586e-1,1.219356033e0,1.399836776e0,118283,0,0
17,1.961739480e-2,2.024512244e-5,4.154294960e-4,3.199303624e-4,7.250807607e-9,5.238703018e-1,1.108248103e0,9.144438549e-1,1.965250521e0,4.466964787e-1,8.660771864e-1,1.924261179e0,8.378745875e-1,4.722094622e-1,1.550471285e0,1.043189636e0,1.192882865e0,1.866497885e0,3.556994337e-1,8.810123988e-1,2.926476075e-1,9.162296606e-1,1.389210139e-1,5.138976635e-1,2.555598443e-1,1.760123606e0,6.847513211e-1,9.651337213e-1,9.599358960e-1,1.470906553e0,5.687264399e-1,2.134726974e-1,1.520373610e0,2.179021378e0,1.342284757e0,1.149211993e0,1.820711542e0,1.466341867e0,6.445494049e-1,1.677839320e0,8.347780038e-1,7.608622864e-1,2.287221604e0,6.914000015e-2,1.169524173e0,1.238784296e0,6.712013452e-1,8.720747101e-1,3.769639845e-1,7.658844059e-1,5.779613264e-1,1.697860074e0,2.609185322e0,8.797809313e-1,3.990825950e-1,1.869225756e0,6.125590587e-1,4.014221021e-1,7.973262442e-1,1.799013522e0,4.130053988e-1,8.124463027e-1,1.315299628e0,5.884693814e-1,2.714421796e-1,4.909267128e-1,7.492147227e-1,1.234483048e0,1.314291961e0,118283,0,0
18,2.022586482e-2,1.960577416e-5,5.997393661e-4,2.632316860e-4,7.719318311e-9,4.540528919e-1,1.015026646e0,7.956461887e-1,1.751549625e0,4.451079393e-1,8.407904756e-1,1.762462148e0,8.653395160e-1,5.017496966e-1,1.458752096e0,9.323386471e-1,1.031048793e0,1.662516902e0,4.033760206e-1,8.893099906e-1,2.785768583e-1,9.273493474e-1,8.572342097e-2,4.231901892e-1,2.417115170e-1,1.600937677e0,7.289784671e-1,8.496670286e-1,9.442359022e-1,1.321520142e0,5.336174448e-1,2.133951539e-1,1.373389945e0,1.971449000e0,1.262344032e0,1.140466009e0,1.691929293e0,1.439912740e0,6.058228923e-1,1.563792697e0,8.145930715e-1,7.508830666e-1,2.156600028e0,4.303696010e-2,1.067786150e0,1.075482327e0,7.068875253e-1,8.960972607e-1,3.140733151e-1,7.755364280e-1,5.186390654e-1,1.596701710e0,2.381904693e0,8.277391134e-1,4.173527268e-1,1.730711646e0,5.992252269e-1,4.177728045e-1,7.968273130e-1,1.596430356e0,4.140771351e-1,6.824216744e-1,1.162229952e0,4.954732829e-1,2.147678258e-1,4.698311081e-1,7.597110936e-1,1.235038262e0,1.143229472e0,118283,0,0
19,2.065733082e-2,2.046686387e-5,7.828059463e-4,2.141344837e-4,8.187726654e-9,3.992380417e-1,9.425316395e-1,6.986959541e-1,1.571976257e0,4.488130054e-1,8.326362561e-1,1.636405472e0,9.044630391e-1,5.653816094e-1,1.389492260e0,8.513792382e-1,8.978286130e-1,1.496658028e0,4.609614589e-1,9.125142324e-1,2.823398314e-1,9.472937362e-1,9.760701836e-2,3.482109226e-1,2.356864133e-1,1.477197874e0,7.771973473e-1,7.626572274e-1,9.378819214e-1,1.196408679e0,5.430626143e-1,2.320372040e-1,1.251225857e0,1.803360890e0,1.206130502e0,1.143839424e0,1.591582019e0,1.434600582e0,5.899422110e-1,1.476742629e0,8.089746741e-1,7.707303061e-1,2.062728967e0,1.135823484e-1,9.874901362e-1,9.454751008e-1,7.478061237e-1,9.300019733e-1,2.626974937e-1,7.928694670e-1,4.701736250e-1,1.527566545e0,2.200141787e0,7.880976114e-1,4.454804186e-1,1.626416386e0,6.036716212e-1,4.517599285e-1,8.060125495e-1,1.429141818e0,4.444670630e-1,5.985042741e-1,1.046112356e0,4.360879206e-1,1.663321850e-1,4.589830681e-1,7.836827262e-1,1.254043018e0,1.002064009e0,118283,0,0
