frame,micro_div,d_momx,d_momy,d_ke,d_comx,rand_00,rand_01,rand_02,rand_03,rand_04,rand_05,rand_06,rand_07,rand_08,rand_09,rand_10,rand_11,rand_12,rand_13,rand_14,rand_15,rand_16,rand_17,rand_18,rand_19,rand_20,rand_21,rand_22,rand_23,rand_24,rand_25,rand_26,rand_27,rand_28,rand_29,rand_30,rand_31,rand_32,rand_33,rand_34,rand_35,rand_36,rand_37,rand_38,rand_39,rand_40,rand_41,rand_42,rand_43,rand_44,rand_45,rand_46,rand_47,rand_48,rand_49,rand_50,rand_51,rand_52,rand_53,rand_54,rand_55,rand_56,rand_57,rand_58,rand_59,rand_60,rand_61,rand_62,rand_63,join,only_a,only_b
0,3.408489738e-2,9.437574412e-7,2.432163430e-5,3.181748726e-4,1.081820929e-11,6.874350592e-1,1.351992524e0,1.248614821e0,2.564021819e0,3.953221318e-1,9.771426126e-1,2.350910094e0,7.039380560e-1,2.093213706e-1,1.795128454e0,1.371798240e0,1.704300531e0,2.463804631e0,8.917884637e-2,7.711047520e-1,2.420003353e-1,8.799766776e-1,3.555514899e-1,8.356152868e-1,2.051298716e-1,2.209711197e0,5.205803186e-1,1.248126262e0,9.727306864e-1,1.871166595e0,5.431643408e-1,1.648624638e-1,1.918611531e0,2.817514579e0,1.541028181e0,1.151384711e0,2.208030516e0,1.519345980e0,6.746472071e-1,2.016741974e0,8.309957448e-1,6.088784996e-1,2.640793254e0,2.966624199e-1,1.419647754e0,1.750519090e0,5.857402163e-1,7.594639544e-1,6.170023060e-1,7.365531856e-1,7.617724082e-1,1.991062704e0,3.295751788e0,9.975231451e-1,2.734998342e-1,2.279398876e0,5.238791540e-1,2.582963042e-1,7.632979548e-1,2.404605348e0,1.768698262e-1,1.200517877e0,1.798154250e0,8.795577088e-1,4.676581563e-1,5.136269699e-1,6.309452587e-1,1.183315276e0,1.795539843e0,118283,0,0
1,3.222328337e-2,1.533629200e-6,2.552353910e-5,3.490752421e-4,3.986272638e-11,7.995838136e-1,1.575742695e0,1.412628562e0,3.000285644e0,5.321997726e-1,1.180810035e0,2.785454901e0,9.457544170e-1,3.478950217e-1,2.178264855e0,1.559709120e0,1.920159375e0,2.859146762e0,2.140452188e-1,1.039011159e0,3.175726487e-1,1.127158515e0,3.188341452e-1,8.979406985e-1,2.798850690e-1,2.598081756e0,7.722562157e-1,1.454701443e0,1.269349537e0,2.209727634e0,6.602166340e-1,1.967448702e-1,2.240411639e0,3.303112312e0,1.898330357e0,1.490976014e0,2.643076409e0,1.909365083e0,7.950051111e-1,2.419507004e0,1.090757935e0,8.403094521e-1,3.220368149e0,2.386026067e-1,1.679597403e0,1.990799269e0,8.018850596e-1,1.053442845e0,6.638853515e-1,9.755128651e-1,8.572689699e-1,2.394408050e0,3.872992369e0,1.221584420e0,3.670901943e-1,2.712443745e0,6.957245636e-1,3.993635039e-1,9.759893877e-1,2.800407269e0,3.174017897e-1,1.321145313e0,2.056900544e0,9.667657778e-1,5.111384127e-1,6.396143325e-1,8.735189920e-1,1.537720321e0,2.068699141e0,118283,0,0
2,3.002771721e-2,1.731380128e-6,2.286925342e-5,3.492004803e-4,7.574439266e-11,8.772405945e-1,1.728127429e0,1.479536360e0,3.266078930e0,6.838126970e-1,1.276392822e0,3.075873147e0,1.173668900e0,3.808642926e-1,2.470207609e0,1.611215500e0,1.957955893e0,3.053803430e0,4.089444164e-1,1.290715190e0,3.701693327e-1,1.354725974e0,2.374306661e-1,8.369097724e-1,3.793708351e-1,2.817981196e0,1.039003226e0,1.571295634e0,1.546663597e0,2.442697947e0,6.772355510e-1,1.753542271e-1,2.458305695e0,3.552364500e0,2.161084992e0,1.795940558e0,2.925052391e0,2.221493827e0,8.726524615e-1,2.680927788e0,1.314886841e0,1.007261613e0,3.635947657e0,1.591278721e-1,1.870237934e0,2.039664179e0,9.956324294e-1,1.329172425e0,6.063322708e-1,1.184329855e0,8.931945640e-1,2.640173036e0,4.196281641e0,1.412496490e0,4.708540772e-1,2.969678620e0,8.600035036e-1,4.590652543e-1,1.175640857e0,2.991112523e0,3.280613994e-1,1.285728561e0,2.111518342e0,9.251006845e-1,4.841608255e-1,7.467819209e-1,1.101070463e0,1.837517644e0,2.198857992e0,118283,0,0
3,2.844920388e-2,2.052314762e-6,1.039574492e-5,2.873083496e-4,1.136062255e-10,8.540170007e-1,1.670870712e0,1.332122624e0,3.093427965e0,8.131142454e-1,1.172787176e0,2.982156792e0,1.327276452e0,4.700560978e-1,2.475998935e0,1.415325782e0,1.659561907e0,2.800709156e0,6.807870447e-1,1.459249264e0,4.211681230e-1,1.459398718e0,9.684886714e-2,5.779639710e-1,4.833546072e-1,2.652816091e0,1.265907796e0,1.492567692e0,1.692786736e0,2.371340464e0,6.663617974e-1,1.751490939e-1,2.366186619e0,3.278654443e0,2.180251277e0,1.935248003e0,2.819990356e0,2.294298872e0,8.645223590e-1,2.592980019e0,1.432740148e0,1.143125378e0,3.618427949e0,7.886345351e-2,1.850903221e0,1.743984411e0,1.100641671e0,1.513976009e0,3.904803459e-1,1.280571698e0,7.917490255e-1,2.540077845e0,3.923983274e0,1.463552393e0,5.615369793e-1,2.829145577e0,9.885096098e-1,5.204500477e-1,1.280089831e0,2.734522794e0,3.715529156e-1,1.031299626e0,1.817945005e0,7.086532316e-1,3.447398673e-1,7.857235928e-1,1.278347632e0,1.978589913e0,2.012276112e0,118283,0,0
4,2.698096603e-2,2.098619602e-6,9.107192319e-6,2.355090521e-4,1.522723227e-10,8.613255354e-1,1.662022767e0,1.227679625e0,2.993943322e0,9.621235409e-1,1.062490548e0,2.953837125e0,1.492613256e0,5.358981755e-1,2.524119838e0,1.253035321e0,1.396614245e0,2.604100208e0,9.541366457e-1,1.640080777e0,4.772599376e-1,1.577522122e0,9.529240184e-2,3.308784204e-1,6.066982209e-1,2.537391188e0,1.495916977e0,1.456342493e0,1.856624868e0,2.357880925e0,6.651715670e-1,2.157826264e-1,2.340126291e0,3.055025439e0,2.226766847e0,2.090078516e0,2.754755684e0,2.385922448e0,8.826248534e-1,2.541511790e0,1.562653485e0,1.289112143e0,3.649558120e0,1.316030152e-1,1.883950800e0,1.478631770e0,1.196005956e0,1.699621700e0,1.772449964e-1,1.376723852e0,7.143289548e-1,2.468733760e0,3.717735347e0,1.546415608e0,6.602410924e-1,2.730481018e0,1.136385975e0,5.654644002e-1,1.404465621e0,2.525674715e0,3.899157581e-1,8.190468478e-1,1.553387772e0,5.171071617e-1,2.063901121e-1,8.374693884e-1,1.468026657e0,2.132477570e0,1.876183483e0,118283,0,0
5,2.579728001e-2,2.019085574e-6,1.286115266e-5,1.938845127e-4,1.939155130e-10,8.754959432e-1,1.669320816e0,1.149932609e0,2.935454703e0,1.100362934e0,9.777082522e-1,2.956418660e0,1.650615306e0,6.018536628e-1,2.589065385e0,1.128315509e0,1.186505822e0,2.458977393e0,1.203334005e0,1.812928492e0,5.297399324e-1,1.694852207e0,2.021137447e-1,1.646901943e-1,7.191596055e-1,2.461239492e0,1.710885564e0,1.438506949e0,2.016476805e0,2.367681446e0,6.701628439e-1,2.813641128e-1,2.338910571e0,2.890451423e0,2.287441898e0,2.244262208e0,2.723923693e0,2.487829873e0,9.057582915e-1,2.520808549e0,1.690389276e0,1.427561261e0,3.710294993e0,2.176458635e-1,1.929660214e0,1.268012889e0,1.290916819e0,1.877834692e0,9.038108474e-2,1.473760692e0,6.547852367e-1,2.430417859e0,3.574128822e0,1.632345633e0,7.522163714e-1,2.670773284e0,1.275207277e0,6.094260172e-1,1.525359919e0,2.369064888e0,4.089126607e-1,6.709011727e-1,1.345804204e0,3.896573514e-1,9.976211441e-2,8.901052675e-1,1.646757680e0,2.285609203e0,1.776336044e0,118283,0,0
6,2.466632921e-2,2.151306089e-6,3.907282456e-5,1.767297846e-4,2.377526645e-10,8.792434967e-1,1.658387155e0,1.105282218e0,2.878771196e0,1.158122175e0,8.963407105e-1,2.920626896e0,1.693833151e0,5.711473647e-1,2.583333734e0,1.044218802e0,1.071797833e0,2.355672544e0,1.309258802e0,1.862213706e0,5.405078805e-1,1.720380858e0,2.569125175e-1,1.929759827e-1,7.752182493e-1,2.385233690e0,1.784014255e0,1.412829898e0,2.062317793e0,2.351007891e0,6.176840769e-1,3.041524980e-1,2.321963877e0,2.761801549e0,2.273569493e0,2.278317839e0,2.662313469e0,2.485714230e0,9.011149081e-1,2.465505829e0,1.719318033e0,1.454832875e0,3.672612774e0,2.531606855e-1,1.934572992e0,1.140567952e0,1.300602335e0,1.923133077e0,1.876397264e-1,1.486583325e0,6.231212755e-1,2.356551137e0,3.448742173e0,1.655673232e0,7.832002036e-1,2.590281121e0,1.324551774e0,5.844963691e-1,1.560724902e0,2.258105717e0,3.491144461e-1,5.835408136e-1,1.208370184e0,3.210186000e-1,8.792579198e-2,9.017532052e-1,1.702840114e0,2.309141044e0,1.710027453e0,118283,0,0
7,2.400150087e-2,2.384563101e-6,9.462162800e-5,1.579067593e-4,2.886562126e-10,8.377607845e-1,1.560304568e0,1.011653763e0,2.672137541e0,1.163261439e0,7.855137838e-1,2.736826962e0,1.664802209e0,5.809851614e-1,2.446528305e0,9.406845442e-1,9.419023672e-1,2.140759546e0,1.377615118e0,1.834797231e0,5.419948757e-1,1.663352816e0,3.326997528e-1,3.368268606e-1,7.958279761e-1,2.195930323e0,1.787998203e0,1.324770536e0,2.013859759e0,2.210458616e0,6.019536934e-1,3.381895895e-1,2.178302266e0,2.502521986e0,2.156573548e0,2.207436265e0,2.467766607e0,2.366931286e0,8.603134553e-1,2.289687454e0,1.678087686e0,1.445992961e0,3.459016577e0,3.128253671e-1,1.839885437e0,1.001355831e0,1.258217481e0,1.892677057e0,3.258608419e-1,1.435482406e0,5.632411968e-1,2.177636771e0,3.152486434e0,1.595767404e0,7.810423027e-1,2.389880037e0,1.320636993e0,5.733320870e-1,1.521226732e0,2.041539033e0,3.495643286e-1,5.781526885e-1,1.067356867e0,3.568071888e-1,1.534285455e-1,8.720806428e-1,1.694004100e0,2.235304085e0,1.564436097e0,118283,0,0
8,2.348549388e-2,2.285212023e-6,1.033626240e-4,1.692509813e-4,3.405450819e-10,7.749520557e-1,1.437388264e0,9.453247522e-1,2.431862854e0,1.118055137e0,6.961518386e-1,2.498630841e0,1.572074935e0,5.865047565e-1,2.238048251e0,9.061680844e-1,9.445586373e-1,1.946493812e0,1.389024845e0,1.731971261e0,5.212537126e-1,1.546678632e0,4.164919798e-1,5.395818643e-1,7.780923844e-1,1.993551155e0,1.716513759e0,1.220584604e0,1.881958101e0,2.019750079e0,5.943737527e-1,3.670428207e-1,1.996544602e0,2.258663916e0,1.972215551e0,2.050492431e0,2.229251519e0,2.170263016e0,8.043699345e-1,2.071424771e0,1.567503051e0,1.381462766e0,3.150740677e0,3.803197141e-1,1.698309669e0,9.871327778e-1,1.168182811e0,1.783060839e0,4.824511105e-1,1.328478100e0,5.325213220e-1,1.968271646e0,2.848877788e0,1.479502843e0,7.495742109e-1,2.164176459e0,1.260382676e0,5.492157392e-1,1.425170815e0,1.847784844e0,3.502361945e-1,7.088060418e-1,1.051226718e0,5.021370266e-1,2.648409714e-1,8.100645376e-1,1.615525671e0,2.080491355e0,1.433870699e0,118283,0,0
9,2.322167368e-2,2.950317366e-6,4.499752734e-5,2.177972978e-4,3.965286121e-10,7.212279004e-1,1.347032728e0,9.669588102e-1,2.287742704e0,1.045188696e0,6.885154116e-1,2.314782395e0,1.450123652e0,5.866611240e-1,2.037921033e0,9.989133953e-1,1.150308341e0,1.911587585e0,1.368356444e0,1.590673206e0,4.850752310e-1,1.409479639e0,5.071444064e-1,7.739514365e-1,7.365096221e-1,1.890971219e0,1.603009888e0,1.158234807e0,1.711511083e0,1.866958427e0,5.988227969e-1,3.978173947e-1,1.864522946e0,2.192067068e0,1.788451536e0,1.859292319e0,2.056354091e0,1.961762844e0,7.559765014e-1,1.909146880e0,1.424104845e0,1.284981586e0,2.867416864e0,4.491226055e-1,1.570167255e0,1.181777736e0,1.057772043e0,1.631908499e0,6.577078531e-1,1.198838304e0,5.643368683e-1,1.825340479e0,2.714704821e0,1.349538774e0,7.036198134e-1,2.026812378e0,1.168419426e0,5.164915484e-1,1.306824984e0,1.820411998e0,3.420936961e-1,9.500637469e-1,1.240004017e0,7.158252503e-1,4.015797570e-1,7.375070061e-1,1.499308126e0,1.895162560e0,1.416717851e0,118283,0,0
