  100/1035 judgments, est $0.01
  200/1035 judgments, est $0.03
  300/1035 judgments, est $0.04
  400/1035 judgments, est $0.05
  500/1035 judgments, est $0.06
  600/1035 judgments, est $0.08
  700/1035 judgments, est $0.09
  800/1035 judgments, est $0.10
  900/1035 judgments, est $0.11
  1000/1035 judgments, est $0.13
DONE: 1035 new judgments, estimated spend $0.13
