  100/945 judgments, est $0.01
  200/945 judgments, est $0.03
  300/945 judgments, est $0.05
  400/945 judgments, est $0.07
  500/945 judgments, est $0.08
  600/945 judgments, est $0.10
  700/945 judgments, est $0.12
  800/945 judgments, est $0.13
  900/945 judgments, est $0.15
DONE: 945 new judgments, estimated spend $0.16
