frame,micro_div,d_momx,d_momy,d_ke,d_comx,rand_00,rand_01,rand_02,rand_03,rand_04,rand_05,rand_06,rand_07,rand_08,rand_09,rand_10,rand_11,rand_12,rand_13,rand_14,rand_15,rand_16,rand_17,rand_18,rand_19,rand_20,rand_21,rand_22,rand_23,rand_24,rand_25,rand_26,rand_27,rand_28,rand_29,rand_30,rand_31,rand_32,rand_33,rand_34,rand_35,rand_36,rand_37,rand_38,rand_39,rand_40,rand_41,rand_42,rand_43,rand_44,rand_45,rand_46,rand_47,rand_48,rand_49,rand_50,rand_51,rand_52,rand_53,rand_54,rand_55,rand_56,rand_57,rand_58,rand_59,rand_60,rand_61,rand_62,rand_63,join,only_a,only_b
10,2.191414059e-2,6.541467423e-6,1.285780940e-3,2.458910366e-4,4.241701970e-9,9.540443353e-1,1.528164413e0,7.114013373e-1,5.976807626e-1,1.825069357e0,1.946813800e0,1.242776233e0,1.631308762e0,1.029406818e0,8.561401995e-1,8.918856485e-1,1.772910926e0,1.118040711e0,1.970247033e0,1.454526787e0,9.744200062e-1,9.610418180e-1,3.005778922e-1,2.288976035e0,1.619683052e0,8.633436584e-1,1.255705794e0,1.039833532e0,9.368822222e-1,1.004388136e0,1.464391231e0,1.784555306e0,1.516853940e0,1.815935429e0,7.324603692e-1,7.260247982e-1,5.562192358e-1,6.261114563e-1,1.433902904e0,6.107530414e-1,9.191848009e-1,1.946628335e0,8.842893422e-1,1.132183365e0,1.861892483e0,2.262986440e0,4.168790824e-1,8.357260567e-1,2.284248066e0,1.793862333e-1,2.182506516e-1,1.148112346e0,1.230381577e0,1.337288678e0,1.249435679e0,9.800596847e-1,1.847345595e0,7.878242561e-1,1.444745186e0,1.628919424e0,1.319895945e0,1.502956154e0,2.372776290e0,1.808209014e0,1.559430229e0,6.672119300e-1,1.702100955e0,1.247923339e0,5.861275679e-1,118283,0,0
11,2.188074946e-2,6.142639922e-6,1.397225359e-3,2.708657451e-4,6.333264859e-9,9.359861848e-1,1.497935975e0,6.874208939e-1,5.885464002e-1,1.822547141e0,1.935118832e0,1.211459936e0,1.654671729e0,1.008638403e0,8.403041414e-1,9.133338470e-1,1.822824868e0,1.183152144e0,1.998793744e0,1.473109750e0,9.626178141e-1,9.852953435e-1,2.969159185e-1,2.315748806e0,1.609418544e0,8.661009927e-1,1.293507317e0,1.020619883e0,9.455091035e-1,9.713568465e-1,1.431923370e0,1.788097452e0,1.474067935e0,1.871146583e0,7.219564259e-1,7.439767370e-1,5.812927979e-1,6.251380550e-1,1.415677632e0,6.282044323e-1,9.254569420e-1,1.941530372e0,8.665671165e-1,1.092978524e0,1.829602063e0,2.315114831e0,4.083455718e-1,8.599220262e-1,2.298779329e0,1.874467559e-1,2.031568120e-1,1.153325998e0,1.285555279e0,1.324919332e0,1.263933062e0,9.955961437e-1,1.843839718e0,7.786428555e-1,1.456577386e0,1.690719315e0,1.305031422e0,1.559891015e0,2.412660618e0,1.846046684e0,1.575826368e0,6.631969539e-1,1.714686560e0,1.253913394e0,6.420385200e-1,118283,0,0
12,2.167166673e-2,5.318794806e-6,1.509208329e-3,2.982446145e-4,6.339121867e-9,9.141529322e-1,1.475867937e0,6.629254827e-1,5.813047420e-1,1.839583597e0,1.934164231e0,1.175576888e0,1.689388912e0,9.844323083e-1,8.344949550e-1,9.308652107e-1,1.893045175e0,1.243551086e0,2.047888702e0,1.493178019e0,9.527722707e-1,1.023039420e0,3.097280866e-1,2.364897466e0,1.613982868e0,8.801049612e-1,1.343334982e0,9.877586426e-1,9.698096871e-1,9.447898392e-1,1.397144648e0,1.806013018e0,1.442302230e0,1.938365502e0,7.054937849e-1,7.774677610e-1,6.073779304e-1,6.372460369e-1,1.402461144e0,6.296641820e-1,9.204113566e-1,1.938299101e0,8.466807077e-1,1.055154159e0,1.806097016e0,2.383844936e0,3.937589504e-1,8.794207684e-1,2.334505142e0,1.817445693e-1,1.867914108e-1,1.144110386e0,1.348105614e0,1.323224739e0,1.285979507e0,1.000004459e0,1.849482634e0,7.658052443e-1,1.481226385e0,1.764883891e0,1.289926924e0,1.620753957e0,2.470538917e0,1.890136560e0,1.607365991e0,6.617926354e-1,1.738854566e0,1.277303228e0,6.860827070e-1,118283,0,0
13,2.160093980e-2,5.568153629e-6,1.592284314e-3,3.117178968e-4,6.336000374e-9,9.020449679e-1,1.465428969e0,6.667369665e-1,5.856855604e-1,1.842529247e0,1.923757832e0,1.167987342e0,1.714134614e0,9.959605222e-1,8.298576012e-1,9.529643841e-1,1.923384089e0,1.282710101e0,2.067998510e0,1.509918676e0,9.515523670e-1,1.043846581e0,3.248945134e-1,2.378331366e0,1.607547166e0,9.072818760e-1,1.366651399e0,9.848492291e-1,9.766620859e-1,9.277490801e-1,1.400525000e0,1.813221692e0,1.421393480e0,1.966201470e0,7.173136800e-1,7.922897445e-1,6.176308519e-1,6.555967176e-1,1.399765079e0,6.422767624e-1,9.306477017e-1,1.947582968e0,8.617684427e-1,1.033460842e0,1.793822959e0,2.415600165e0,3.930945686e-1,9.033758400e-1,2.341051170e0,1.867300032e-1,1.836311883e-1,1.159201904e0,1.377097302e0,1.318714681e0,1.298345246e0,1.019635671e0,1.851284558e0,7.847616188e-1,1.492840425e0,1.802197107e0,1.296938665e0,1.661565733e0,2.499092703e0,1.917219422e0,1.617723517e0,6.626410544e-1,1.752357451e0,1.303163928e0,7.241917599e-1,118283,0,0
14,2.155824404e-2,6.044903615e-6,1.642287793e-3,3.170239508e-4,6.324784484e-9,8.921473846e-1,1.457518833e0,6.676535172e-1,5.874716449e-1,1.838832044e0,1.910848615e0,1.159911480e0,1.722315937e0,9.978134890e-1,8.257844720e-1,9.569233244e-1,1.931188728e0,1.295778142e0,2.070568172e0,1.512192395e0,9.471776094e-1,1.053617739e0,3.331068106e-1,2.376712302e0,1.598744349e0,9.165939217e-1,1.373511439e0,9.790444544e-1,9.766507062e-1,9.171310823e-1,1.396883351e0,1.812300517e0,1.408657313e0,1.972344456e0,7.193229355e-1,7.977703162e-1,6.193304090e-1,6.626894290e-1,1.394334624e0,6.444562203e-1,9.306360935e-1,1.943668475e0,8.652101622e-1,1.020935408e0,1.783148489e0,2.422977956e0,3.934420254e-1,9.113269181e-1,2.336396799e0,1.883708196e-1,1.828202856e-1,1.160241982e0,1.384316799e0,1.312703919e0,1.301208881e0,1.022993474e0,1.845338351e0,7.915314133e-1,1.495520905e0,1.814903975e0,1.295541403e0,1.674858584e0,2.503805952e0,1.923679581e0,1.618430361e0,6.602409901e-1,1.752786844e0,1.313350125e0,7.400448159e-1,118283,0,0
15,2.157417442e-2,5.436176663e-6,1.644180456e-3,3.187949994e-4,6.322114661e-9,9.028372065e-1,1.467971068e0,7.154492897e-1,5.919925722e-1,1.841311865e0,1.911361812e0,1.211895330e0,1.754159795e0,1.092135852e0,8.297016553e-1,1.024557345e0,1.940271844e0,1.335769416e0,2.085842383e0,1.555993725e0,9.784992339e-1,1.056147159e0,3.454554668e-1,2.371675700e0,1.595953057e0,9.936521562e-1,1.383917192e0,1.039403621e0,9.758664799e-1,9.119320702e-1,1.489879925e0,1.820518024e0,1.399667681e0,1.976076383e0,7.963453883e-1,7.999188912e-1,6.196645754e-1,7.121613785e-1,1.424009176e0,6.902585823e-1,9.920816219e-1,2.016508069e0,9.618043121e-1,1.014107584e0,1.798983552e0,2.440726373e0,4.017866040e-1,9.654098166e-1,2.329873938e0,2.049549617e-1,1.884431182e-1,1.247246811e0,1.399654749e0,1.316451148e0,1.313877182e0,1.097476970e0,1.872135781e0,8.801397288e-1,1.502124458e0,1.826187585e0,1.365221082e0,1.728385324e0,2.536206263e0,1.959782091e0,1.614694080e0,6.795566101e-1,1.782935512e0,1.370299220e0,7.848034024e-1,118283,0,0
16,2.149378834e-2,6.078262033e-6,1.631336818e-3,3.183415019e-4,6.319786061e-9,8.917811897e-1,1.448810776e0,6.768900759e-1,5.843210085e-1,1.826390515e0,1.896711498e0,1.170543946e0,1.725629382e0,1.018891475e0,8.205022025e-1,9.771663796e-1,1.925266706e0,1.310486648e0,2.066532678e0,1.525285691e0,9.507126613e-1,1.050810670e0,3.303558490e-1,2.363055799e0,1.585826512e0,9.285698036e-1,1.376209246e0,9.977215958e-1,9.715041761e-1,9.057684607e-1,1.413686528e0,1.802796394e0,1.392539483e0,1.966514605e0,7.375994655e-1,7.957281564e-1,6.168959862e-1,6.685220491e-1,1.393134014e0,6.641787193e-1,9.547916139e-1,1.957587840e0,8.875413571e-1,1.008841705e0,1.775187835e0,2.419917204e0,3.964681864e-1,9.333002560e-1,2.321071633e0,2.038474223e-1,1.828759793e-1,1.187704290e0,1.384870942e0,1.305197374e0,1.300065781e0,1.045817142e0,1.844638044e0,8.146468463e-1,1.491519806e0,1.811452491e0,1.308442798e0,1.691132452e0,2.502001317e0,1.931170216e0,1.608294413e0,6.630053746e-1,1.755234195e0,1.320896356e0,7.598478613e-1,118283,0,0
17,2.147334149e-2,6.600772010e-6,1.610279286e-3,3.166311607e-4,6.316074956e-9,8.694182226e-1,1.419336549e0,6.018313127e-1,5.718425948e-1,1.804083142e0,1.873793846e0,1.091788697e0,1.672894516e0,8.759622310e-1,8.076380100e-1,8.818634324e-1,1.899857459e0,1.256480690e0,2.030972257e0,1.461547478e0,8.976260208e-1,1.042466203e0,3.096477134e-1,2.349710531e0,1.571393630e0,8.064303151e-1,1.358121416e0,9.114380507e-1,9.640339903e-1,8.990074797e-1,1.268048611e0,1.775239585e0,1.387389451e0,1.949497951e0,6.146593002e-1,7.890262841e-1,6.120864777e-1,5.922426278e-1,1.341055808e0,6.026701982e-1,8.704462814e-1,1.845389395e0,7.362727450e-1,1.005630020e0,1.735751706e0,2.381425286e0,3.830379657e-1,8.606685834e-1,2.308308848e0,1.931750635e-1,1.726576991e-1,1.061936429e0,1.356874288e0,1.287349706e0,1.275698767e0,9.382538978e-1,1.793880744e0,6.792764008e-1,1.473749770e0,1.785786108e0,1.202228817e0,1.616788663e0,2.440044163e0,1.873176642e0,1.599799263e0,6.332779270e-1,1.703771984e0,1.232147498e0,7.054446700e-1,118283,0,0
18,2.139494665e-2,6.874490826e-6,1.596250768e-3,3.065390257e-4,6.321230171e-9,8.515767020e-1,1.402070071e0,5.665761850e-1,5.677939551e-1,1.765928541e0,1.834314758e0,1.051637046e0,1.624797176e0,7.954045018e-1,7.938742548e-1,8.117756906e-1,1.845687307e0,1.204394964e0,1.970686709e0,1.405029300e0,8.569843673e-1,1.024184621e0,2.985276417e-1,2.299281131e0,1.538667058e0,7.262048191e-1,1.318225860e0,8.652891878e-1,9.353450564e-1,8.907460620e-1,1.185376151e0,1.742342120e0,1.382993822e0,1.904606205e0,5.380373286e-1,7.659654698e-1,5.971716099e-1,5.437721724e-1,1.309531272e0,5.630799828e-1,8.101634471e-1,1.763771519e0,6.451485006e-1,1.011054085e0,1.705272034e0,2.319438227e0,3.795724811e-1,8.038520745e-1,2.262321305e0,1.922393300e-1,1.771445727e-1,9.815836591e-1,1.310328048e0,1.262817234e0,1.249330900e0,8.670397361e-1,1.742043409e0,5.980716533e-1,1.447083752e0,1.741931477e0,1.140256215e0,1.547299648e0,2.363717571e0,1.811961402e0,1.571868266e0,6.102495176e-1,1.649400066e0,1.167375110e0,6.677080022e-1,118283,0,0
19,2.109808948e-2,1.499760248e-5,1.622131489e-3,2.753873932e-4,6.185000942e-9,8.084762855e-1,1.366584402e0,5.914200869e-1,5.714680339e-1,1.649297023e0,1.704787279e0,1.040601920e0,1.540905844e0,8.144198851e-1,7.549082474e-1,7.567164560e-1,1.690169398e0,1.121312121e0,1.807045681e0,1.311537690e0,8.083078484e-1,9.698317923e-1,3.090943716e-1,2.116477905e0,1.425383349e0,7.173941004e-1,1.200738856e0,8.550565752e-1,8.399843724e-1,8.533765298e-1,1.179133266e0,1.653559800e0,1.342069740e0,1.758135000e0,5.460384982e-1,6.957116672e-1,5.490040759e-1,5.402466225e-1,1.274875475e0,5.391243392e-1,7.569686909e-1,1.671101765e0,6.627849397e-1,1.002279643e0,1.636021626e0,2.151014136e0,3.852761156e-1,7.475580198e-1,2.091262683e0,1.981280835e-1,2.106425033e-1,9.456724156e-1,1.192814517e0,1.186790256e0,1.187243753e0,8.298649528e-1,1.629814027e0,6.149003591e-1,1.367202681e0,1.625220277e0,1.118828701e0,1.441241291e0,2.190820617e0,1.688743988e0,1.468280069e0,5.758900738e-1,1.535877465e0,1.118196989e0,6.495107918e-1,118283,0,0
