frame,micro_div,d_momx,d_momy,d_ke,d_comx,rand_00,rand_01,rand_02,rand_03,rand_04,rand_05,rand_06,rand_07,rand_08,rand_09,rand_10,rand_11,rand_12,rand_13,rand_14,rand_15,rand_16,rand_17,rand_18,rand_19,rand_20,rand_21,rand_22,rand_23,rand_24,rand_25,rand_26,rand_27,rand_28,rand_29,rand_30,rand_31,rand_32,rand_33,rand_34,rand_35,rand_36,rand_37,rand_38,rand_39,rand_40,rand_41,rand_42,rand_43,rand_44,rand_45,rand_46,rand_47,rand_48,rand_49,rand_50,rand_51,rand_52,rand_53,rand_54,rand_55,rand_56,rand_57,rand_58,rand_59,rand_60,rand_61,rand_62,rand_63,join,only_a,only_b
0,3.373593391e-2,5.919263053e-7,9.157867793e-5,3.206983326e-4,1.993289478e-11,8.581422674e-1,1.132112528e0,2.087417699e-1,3.220482509e-1,1.737060385e0,1.949972407e0,8.102437978e-1,1.332066718e0,4.542581234e-1,7.322826232e-1,8.174294339e-1,1.876127875e0,1.043280469e0,2.045452825e0,1.325778020e0,8.810299536e-1,7.998331343e-1,7.661457853e-2,2.370813141e0,1.636762021e0,4.641372709e-1,1.340449252e0,6.952377303e-1,1.064471247e0,8.791726229e-1,8.881906021e-1,1.539546700e0,1.205832313e0,1.864815074e0,3.015381672e-1,7.876289214e-1,6.126413237e-1,2.771937919e-1,1.054419972e0,4.708660662e-1,8.206015430e-1,1.644775278e0,2.358065961e-1,8.203465626e-1,1.530988309e0,2.227566975e0,2.509774567e-1,7.441224825e-1,2.318980607e0,4.826234390e-2,7.385446659e-2,8.516676347e-1,1.371918801e0,1.231214682e0,1.047538028e0,7.396483009e-1,1.733546359e0,1.337097487e-1,1.264618451e0,1.542423010e0,8.629894678e-1,1.392197825e0,2.328275138e0,1.691175199e0,1.488629196e0,5.882646288e-1,1.604983008e0,9.092274202e-1,2.952738600e-1,118283,0,0
1,2.977266773e-2,1.603235061e-6,1.360096665e-4,1.580319606e-4,3.839912231e-11,1.042985167e0,1.480761450e0,5.826733530e-1,7.521595622e-1,1.740500792e0,2.001354674e0,1.177202376e0,1.262038314e0,7.466017518e-1,8.562183194e-1,4.996269927e-1,1.498030863e0,6.613549760e-1,1.770977116e0,1.194835648e0,9.192929371e-1,7.352841129e-1,2.796754902e-1,2.163754596e0,1.659290239e0,2.484084997e-1,1.064767162e0,9.926226557e-1,9.091454243e-1,1.174051618e0,1.178425048e0,1.606233785e0,1.624018973e0,1.549351071e0,3.475837453e-1,6.189810465e-1,4.628456234e-1,2.424714005e-1,1.293234434e0,3.454385576e-1,7.010860608e-1,1.651412894e0,3.618027330e-1,1.259030409e0,1.846470495e0,1.915751061e0,5.007609810e-1,4.840187919e-1,2.204511467e0,2.087566508e-1,1.789906022e-1,7.472061397e-1,9.656454818e-1,1.327531410e0,1.050980047e0,5.454807805e-1,1.741817602e0,2.083459037e-1,1.269852215e0,1.236514959e0,1.009407487e0,1.002977902e0,2.015557826e0,1.455894268e0,1.427414210e0,6.069091400e-1,1.492967503e0,7.996588330e-1,1.442620431e-1,118283,0,0
2,2.736709943e-2,3.047907272e-6,2.927014759e-4,1.270150922e-4,1.179394552e-10,1.199458410e0,1.773851211e0,7.611660953e-1,9.686303349e-1,1.940422709e0,2.192547885e0,1.435239896e0,1.420045049e0,8.666740570e-1,1.017921364e0,4.230953261e-1,1.535841904e0,6.002685422e-1,1.888693972e0,1.304244202e0,1.013667537e0,8.476703889e-1,3.978337484e-1,2.330521317e0,1.835364362e0,2.038861720e-1,1.123511489e0,1.174413025e0,9.767820840e-1,1.394633276e0,1.365488067e0,1.816732656e0,1.951041299e0,1.596890645e0,3.789155670e-1,6.687708886e-1,4.339937235e-1,2.776824694e-1,1.520539595e0,3.040000732e-1,7.379769776e-1,1.826506480e0,4.373396766e-1,1.517793439e0,2.156946996e0,2.026906231e0,5.944934649e-1,4.721845329e-1,2.402432875e0,2.673375117e-1,2.905073920e-1,7.392509734e-1,9.009566865e-1,1.513891177e0,1.193618204e0,4.918691234e-1,1.934225971e0,2.014049590e-1,1.447794769e0,1.275055285e0,1.154507848e0,9.983804566e-1,2.121535122e0,1.545147675e0,1.573162838e0,6.826240058e-1,1.636785783e0,8.898674966e-1,2.300469394e-1,118283,0,0
3,2.601356080e-2,2.532258800e-6,7.024038830e-4,1.856405299e-4,2.090786632e-10,1.215447844e0,1.887718336e0,7.364434028e-1,9.093459954e-1,2.111945900e0,2.291970887e0,1.478175803e0,1.654989456e0,8.016128320e-1,1.100476227e0,4.922914143e-1,1.760488110e0,7.695999283e-1,2.116289089e0,1.474139167e0,1.049409160e0,1.033458074e0,3.313332525e-1,2.568060249e0,1.946068578e0,2.251044667e-1,1.316485365e0,1.155608963e0,1.091043933e0,1.405750388e0,1.377931056e0,2.003672353e0,2.032833730e0,1.811715964e0,3.872757679e-1,7.999430359e-1,4.819275670e-1,3.866323914e-1,1.632665959e0,3.303020463e-1,8.054452827e-1,1.972127891e0,4.693554106e-1,1.525802519e0,2.274640083e0,2.303692350e0,5.294465610e-1,5.939905129e-1,2.618954036e0,2.146383535e-1,3.072973359e-1,7.739315469e-1,1.039563218e0,1.622960159e0,1.359246984e0,5.410177249e-1,2.083815004e0,1.985446228e-1,1.638620085e0,1.513122657e0,1.232516902e0,1.219414877e0,2.375649482e0,1.763278331e0,1.750028226e0,7.352333493e-1,1.821416643e0,1.067418476e0,1.891344436e-1,118283,0,0
4,2.525033728e-2,5.319835751e-6,1.327521009e-3,2.652231227e-4,2.275613517e-9,1.137424498e0,1.888928769e0,6.355846779e-1,7.522186484e-1,2.181427722e0,2.273829648e0,1.387281338e0,1.858868826e0,6.831754009e-1,1.095756459e0,5.716428219e-1,1.971965753e0,1.018535235e0,2.261943770e0,1.580441097e0,1.013911523e0,1.211835898e0,2.394649001e-1,2.715283557e0,1.943730760e0,3.210356489e-1,1.468768852e0,1.033404349e0,1.136252019e0,1.287373581e0,1.290116998e0,2.126831988e0,1.963663122e0,2.038460838e0,3.554723339e-1,8.925868457e-1,5.605994108e-1,5.040827229e-1,1.664038761e0,3.831074128e-1,8.127610679e-1,2.011476071e0,4.332409580e-1,1.430180035e0,2.244274331e0,2.556031156e0,4.369469002e-1,6.975565241e-1,2.729997064e0,1.586305384e-1,3.056443856e-1,7.991916735e-1,1.220072982e0,1.631065330e0,1.494881210e0,6.128372997e-1,2.119879756e0,2.352302134e-1,1.774070960e0,1.801741607e0,1.256704819e0,1.468871861e0,2.584384403e0,1.955160710e0,1.878704570e0,7.411856656e-1,1.924218907e0,1.217672105e0,3.670445665e-1,118283,0,0
5,2.473560545e-2,7.188581518e-6,1.901120115e-3,3.602158387e-4,2.261577274e-9,1.048523911e0,1.837589604e0,5.273874342e-1,6.848450455e-1,2.220970241e0,2.245359339e0,1.255133413e0,2.038020918e0,6.226140273e-1,1.051565679e0,6.852945432e-1,2.206015268e0,1.328658049e0,2.392949655e0,1.665278013e0,9.710666380e-1,1.366939740e0,2.308480949e-1,2.851752941e0,1.918944514e0,5.127233273e-1,1.609301546e0,9.189491422e-1,1.160900143e0,1.154253678e0,1.189893211e0,2.226184520e0,1.838627357e0,2.303852579e0,3.492000022e-1,9.645871068e-1,6.774337526e-1,6.007902249e-1,1.659187988e0,4.751385183e-1,8.098552723e-1,2.024754699e0,3.866117780e-1,1.308358809e0,2.162591867e0,2.823478531e0,3.877179397e-1,7.980617421e-1,2.823224967e0,1.390971401e-1,2.755554364e-1,8.516825151e-1,1.461811243e0,1.605462184e0,1.611516700e0,7.301175540e-1,2.127018356e0,3.156495902e-1,1.878283948e0,2.131406873e0,1.265315092e0,1.748153100e0,2.806737521e0,2.152555096e0,1.996238285e0,7.327133825e-1,2.002153812e0,1.345491469e0,6.774422400e-1,118283,0,0
6,2.436666611e-2,9.724934985e-6,2.307245513e-3,4.239339129e-4,2.161334742e-9,9.924878421e-1,1.800727639e0,4.737092333e-1,7.315505949e-1,2.241377313e0,2.211495435e0,1.175098534e0,2.164212648e0,6.291663518e-1,1.025686785e0,7.584327023e-1,2.356121910e0,1.531652334e0,2.476309120e0,1.722810051e0,9.403949657e-1,1.480285887e0,2.885782632e-1,2.932531328e0,1.894733601e0,6.402149289e-1,1.706463380e0,8.661901803e-1,1.177898958e0,1.082979512e0,1.123002708e0,2.288068736e0,1.754708196e0,2.470151301e0,3.628205572e-1,1.019180683e0,7.462966193e-1,6.808372200e-1,1.652820307e0,5.282620472e-1,8.078378582e-1,2.028028804e0,3.702579451e-1,1.222562715e0,2.103413330e0,2.995105253e0,3.901002162e-1,8.708726373e-1,2.873998340e0,1.535462323e-1,2.588750175e-1,8.748027381e-1,1.611633263e0,1.585551725e0,1.691340137e0,7.995306448e-1,2.125269982e0,3.807538070e-1,1.950487338e0,2.347451762e0,1.266104796e0,1.936573845e0,2.944954961e0,2.280992950e0,2.070034050e0,7.263673039e-1,2.052456008e0,1.440155253e0,8.909414464e-1,118283,0,0
7,2.419083402e-2,2.864532015e-5,2.545925394e-3,4.539332738e-4,3.800231213e-9,9.661752858e-1,1.776570096e0,4.560268806e-1,7.832458663e-1,2.239528458e0,2.176294042e0,1.133155067e0,2.227420865e0,6.640989156e-1,1.016093398e0,7.871446999e-1,2.418082697e0,1.627702092e0,2.503298391e0,1.747372961e0,9.190157654e-1,1.541157428e0,3.450800378e-1,2.956097362e0,1.875466319e0,7.062891765e-1,1.752618978e0,8.486674491e-1,1.188326946e0,1.058809576e0,1.086772691e0,2.309540648e0,1.706137176e0,2.535782866e0,3.747667555e-1,1.063874908e0,7.707677124e-1,7.494407429e-1,1.644302778e0,5.627106846e-1,8.094733787e-1,2.017520801e0,3.661644370e-1,1.177919833e0,2.063985520e0,3.064578155e0,4.262306386e-1,9.149819144e-1,2.880121967e0,2.107772154e-1,2.657506516e-1,8.778452996e-1,1.669290410e0,1.567335997e0,1.728681023e0,8.255285627e-1,2.110737929e0,4.215521747e-1,1.983113111e0,2.445466804e0,1.261192852e0,2.023731131e0,2.994517752e0,2.338503746e0,2.096646412e0,7.216571994e-1,2.067763053e0,1.493460702e0,1.001035184e0,118283,0,0
8,2.404480971e-2,4.847533356e-5,2.597202115e-3,4.683214061e-4,5.145783931e-9,9.660755000e-1,1.750124480e0,4.455859378e-1,8.036002503e-1,2.234750529e0,2.158064137e0,1.107961929e0,2.243556832e0,7.064000842e-1,1.023738020e0,8.123279488e-1,2.450809155e0,1.672520884e0,2.516518618e0,1.764262718e0,9.100260890e-1,1.558023624e0,4.053240134e-1,2.969325404e0,1.881181258e0,7.611684323e-1,1.784738290e0,8.414660026e-1,1.221248748e0,1.067054257e0,1.071300717e0,2.303574965e0,1.671501978e0,2.556076353e0,3.777342242e-1,1.129064456e0,7.777864645e-1,8.227134975e-1,1.627637030e0,6.039817837e-1,8.324277021e-1,2.010774006e0,3.737478786e-1,1.156875341e0,2.034434109e0,3.087021713e0,4.774991266e-1,9.586090598e-1,2.878386684e0,3.146321815e-1,2.743148677e-1,8.842566113e-1,1.694711602e0,1.554380506e0,1.735157472e0,8.386767274e-1,2.100865432e0,4.392001044e-1,1.987351456e0,2.475064236e0,1.254213498e0,2.060062345e0,3.011584624e0,2.366624879e0,2.098734970e0,7.256033035e-1,2.072545308e0,1.525134628e0,1.043838405e0,118283,0,0
9,2.394517421e-2,4.549227649e-5,2.516380287e-3,4.721774658e-4,5.034617886e-9,9.510396291e-1,1.722205887e0,4.392633976e-1,7.974935567e-1,2.222933768e0,2.151354566e0,1.093736517e0,2.223258035e0,7.003646969e-1,1.010349863e0,8.278964591e-1,2.450560903e0,1.668031389e0,2.517960393e0,1.756007721e0,9.082806744e-1,1.541228444e0,4.021697851e-1,2.961187275e0,1.870876533e0,7.625265155e-1,1.782372744e0,8.312174189e-1,1.215668231e0,1.050106336e0,1.062899192e0,2.281738791e0,1.649264758e0,2.550402822e0,3.698879370e-1,1.115819771e0,7.787654108e-1,8.042842454e-1,1.606232769e0,5.923109791e-1,8.261238479e-1,2.004867987e0,3.723191574e-1,1.132467626e0,2.012860309e0,3.077630360e0,4.607769842e-1,9.576197404e-1,2.869185042e0,2.816135535e-1,2.512883632e-1,8.827988233e-1,1.703187872e0,1.544592859e0,1.716128389e0,8.429986393e-1,2.093185387e0,4.342304190e-1,1.968777461e0,2.462608579e0,1.240730027e0,2.061572616e0,3.008174363e0,2.355211572e0,2.086036147e0,7.218184560e-1,2.067815195e0,1.514728273e0,1.039073833e0,118283,0,0
