frame,moment,rms_signed,rms_abs
0,0,2.215291961e-4,2.224725548e-4
0,1,2.672790081e-3,2.673082013e-3
0,2,3.611634546e-4,3.611634546e-4
0,3,3.425099213e-5,3.425099213e-5
0,4,7.215081491e-4,7.215081491e-4
0,5,7.374331733e-7,7.488969283e-7
0,6,3.617451517e-4,3.617451517e-4
0,7,6.279867116e-6,6.279868865e-6
0,8,3.616905550e-4,3.616905550e-4
300,0,1.224657913e-4,3.088775855e-4
300,1,1.831224505e-3,3.253467158e-3
300,2,1.754287857e-4,1.754287857e-4
300,3,1.980903910e-5,1.980903910e-5
300,4,3.314559011e-4,3.314559011e-4
300,5,1.585021126e-5,4.642826526e-5
300,6,1.171832072e-4,1.171832072e-4
300,7,4.480366823e-6,4.781555195e-6
300,8,1.047077502e-4,1.061717097e-4
1200,0,1.217813548e-5,3.100257668e-4
1200,1,6.047520327e-4,3.232173639e-3
1200,2,8.231650574e-5,8.231650574e-5
1200,3,2.131639746e-5,2.131639746e-5
1200,4,1.474907836e-4,1.474907836e-4
1200,5,4.169411667e-6,1.630470546e-5
1200,6,1.514301071e-5,1.514301071e-5
1200,7,5.641629669e-6,5.869628726e-6
1200,8,3.200563512e-6,8.532962234e-6
