frame,keL_a,keR_a,keL_b,keR_b
83,1.535414423e-3,8.316922101e-6,1.535414423e-3,8.316922101e-6
84,1.216121628e-3,2.690682783e-6,1.216121628e-3,2.690682783e-6
85,1.058910950e-3,8.039375371e-6,1.058910950e-3,8.039375371e-6
86,1.112048834e-3,1.962869758e-5,1.112048834e-3,1.962869758e-5
87,1.334256000e-3,3.154815601e-5,1.334256000e-3,3.154815601e-5
88,1.626804944e-3,3.982085461e-5,1.626804944e-3,3.982085461e-5
89,1.893686086e-3,4.331125123e-5,1.893686086e-3,4.331125123e-5
90,2.084119662e-3,4.907715103e-5,2.084119662e-3,4.907715103e-5
91,2.196252335e-3,5.368292188e-5,2.196252335e-3,5.368292188e-5
92,2.252399003e-3,5.642318844e-5,2.252399003e-3,5.642318844e-5
93,2.278872903e-3,5.825617211e-5,2.278872903e-3,5.825617211e-5
94,2.292234280e-3,5.930219418e-5,2.292234280e-3,5.930219418e-5
95,2.300178380e-3,5.964110098e-5,2.300178380e-3,5.964110098e-5
96,2.305276138e-3,5.939213732e-5,2.305276138e-3,5.939213732e-5
97,2.307905824e-3,5.848536578e-5,2.307905824e-3,5.848536578e-5
98,2.309908704e-3,5.701956090e-5,2.309908704e-3,5.701956090e-5
99,2.311434993e-3,5.470598134e-5,2.311434993e-3,5.470598134e-5
100,2.312294168e-3,5.401823382e-5,2.312294168e-3,5.401823382e-5
101,2.312446933e-3,5.386316181e-5,2.312446933e-3,5.386316181e-5
102,2.311914803e-3,5.383175322e-5,2.311914803e-3,5.383175322e-5
103,2.310774220e-3,5.369482663e-5,2.310774220e-3,5.369482663e-5
104,2.309093563e-3,5.303005000e-5,2.309093563e-3,5.303005000e-5
105,2.307018259e-3,5.232132295e-5,2.307018259e-3,5.232132295e-5
106,2.304730216e-3,5.206034281e-5,2.304730216e-3,5.206034281e-5
107,2.302352628e-3,5.188549694e-5,2.302352628e-3,5.188549694e-5
108,2.299914744e-3,5.040400811e-5,2.299914744e-3,5.040400811e-5
109,2.297391570e-3,5.006642221e-5,2.297391570e-3,5.006642221e-5
110,2.294781943e-3,4.954613083e-5,2.294781943e-3,4.954613083e-5
111,2.292094269e-3,4.913267290e-5,2.292094269e-3,4.913267290e-5
112,2.289328347e-3,4.894142591e-5,2.289328347e-3,4.894142591e-5
113,2.286610241e-3,4.846274872e-5,2.286610241e-3,4.846274872e-5
114,2.285253360e-3,4.801712407e-5,2.285253360e-3,4.801712407e-5
115,2.284677530e-3,4.767081384e-5,2.284677530e-3,4.767081384e-5
116,2.283465689e-3,4.706515362e-5,2.283465689e-3,4.706515362e-5
117,2.281772302e-3,4.603661309e-5,2.281772302e-3,4.603661309e-5
118,2.279416755e-3,4.400079206e-5,2.279416755e-3,4.400079206e-5
119,2.276811312e-3,4.176816753e-5,2.276811312e-3,4.176816753e-5
120,2.273834390e-3,4.058352626e-5,2.273834390e-3,4.058352626e-5
121,2.270587619e-3,4.101231410e-5,2.270587619e-3,4.101231410e-5
122,2.266995927e-3,4.136748762e-5,2.266995927e-3,4.136748762e-5
123,2.263168323e-3,4.165834072e-5,2.263168323e-3,4.165834072e-5
124,2.259171193e-3,4.162541049e-5,2.259171193e-3,4.162541049e-5
125,2.254922070e-3,4.135883025e-5,2.254922070e-3,4.135883025e-5
126,2.250483241e-3,4.099886970e-5,2.250483241e-3,4.099886970e-5
127,2.245977700e-3,4.065459900e-5,2.245977700e-3,4.065459900e-5
128,2.241453467e-3,4.026903156e-5,2.241453467e-3,4.026903156e-5
129,2.236827184e-3,3.984254933e-5,2.236827184e-3,3.984254933e-5
130,2.232089798e-3,3.938799503e-5,2.232089798e-3,3.938799503e-5
131,2.227241663e-3,3.893410798e-5,2.227241663e-3,3.893410798e-5
132,2.222252503e-3,3.846693682e-5,2.222252503e-3,3.846693682e-5
133,2.217118508e-3,3.800816584e-5,2.217118508e-3,3.800816584e-5
134,2.211845357e-3,3.754921954e-5,2.211845357e-3,3.754921954e-5
135,2.206457036e-3,3.710012930e-5,2.206457036e-3,3.710012930e-5
136,2.201357835e-3,3.669801563e-5,2.201357835e-3,3.669801563e-5
137,2.196136428e-3,3.631503344e-5,2.196136428e-3,3.631503344e-5
138,2.190782778e-3,3.591789252e-5,2.190782778e-3,3.591789252e-5
139,2.185297077e-3,3.551246299e-5,2.185297077e-3,3.551246299e-5
140,2.179721002e-3,3.513226681e-5,2.179721002e-3,3.513226681e-5
141,2.174018586e-3,3.475042307e-5,2.174018586e-3,3.475042307e-5
142,2.168200317e-3,3.434431124e-5,2.168200317e-3,3.434431124e-5
143,2.162232293e-3,3.397781419e-5,2.162232293e-3,3.397781419e-5
144,2.156097465e-3,3.360163689e-5,2.156097465e-3,3.360163689e-5
145,2.149804704e-3,3.324005591e-5,2.149804704e-3,3.324005591e-5
146,2.143364509e-3,3.289376913e-5,2.143364509e-3,3.289376913e-5
147,2.136776483e-3,3.252326474e-5,2.136776483e-3,3.252326474e-5
148,2.130067181e-3,3.217096161e-5,2.130067181e-3,3.217096161e-5
149,2.123230435e-3,3.182637920e-5,2.123230435e-3,3.182637920e-5
150,2.116269669e-3,3.146480964e-5,2.116269669e-3,3.146480964e-5
151,2.109198385e-3,3.112590641e-5,2.109198385e-3,3.112590641e-5
152,2.101979867e-3,3.077684219e-5,2.101979867e-3,3.077684219e-5
153,2.094597271e-3,3.036911026e-5,2.094597271e-3,3.036911026e-5
154,2.087074502e-3,2.993824005e-5,2.087074502e-3,2.993824005e-5
155,2.079438194e-3,2.950853243e-5,2.079438194e-3,2.950853243e-5
156,2.071768304e-3,2.915630173e-5,2.071768304e-3,2.915630173e-5
157,2.064117094e-3,2.874821696e-5,2.064117094e-3,2.874821696e-5
158,2.056431884e-3,2.834668826e-5,2.056431884e-3,2.834668826e-5
159,2.048668916e-3,2.783357316e-5,2.048668916e-3,2.783357316e-5
160,2.040706298e-3,2.736467780e-5,2.040706298e-3,2.736467780e-5
161,2.032531373e-3,2.697708453e-5,2.032531373e-3,2.697708453e-5
162,2.024203967e-3,2.652796828e-5,2.024203967e-3,2.652796828e-5
163,2.015755516e-3,2.602047973e-5,2.015755516e-3,2.602047973e-5
164,2.007206324e-3,2.551746866e-5,2.007206324e-3,2.551746866e-5
165,1.998564671e-3,2.490325546e-5,1.998564671e-3,2.490325546e-5
166,1.989810403e-3,2.447207160e-5,1.989810403e-3,2.447207160e-5
167,1.980932946e-3,2.417206153e-5,1.980932946e-3,2.417206153e-5
168,1.971935978e-3,2.378050634e-5,1.971935978e-3,2.378050634e-5
169,1.962791668e-3,2.338184258e-5,1.962791668e-3,2.338184258e-5
170,1.953500250e-3,2.299306189e-5,1.953500250e-3,2.299306189e-5
171,1.944006771e-3,2.259685035e-5,1.944006771e-3,2.259685035e-5
172,1.934312951e-3,2.223207741e-5,1.934312951e-3,2.223207741e-5
173,1.924377126e-3,2.185905129e-5,1.924377126e-3,2.185905129e-5
174,1.914188282e-3,2.148244993e-5,1.914188282e-3,2.148244993e-5
175,1.903725027e-3,2.114189165e-5,1.903725027e-3,2.114189165e-5
176,1.893018198e-3,2.079377243e-5,1.893018198e-3,2.079377243e-5
177,1.882146965e-3,2.044778703e-5,1.882146965e-3,2.044778703e-5
178,1.871256694e-3,2.008623529e-5,1.871256694e-3,2.008623529e-5
179,1.860446916e-3,1.974408651e-5,1.860446916e-3,1.974408651e-5
180,1.849794597e-3,1.941104849e-5,1.849794597e-3,1.941104849e-5
181,1.839231265e-3,1.909709461e-5,1.839231265e-3,1.909709461e-5
182,1.828667936e-3,1.880033586e-5,1.828667936e-3,1.880033586e-5
183,1.817927830e-3,1.849048054e-5,1.817927830e-3,1.849048054e-5
184,1.806928386e-3,1.816043465e-5,1.806928386e-3,1.816043465e-5
185,1.795631444e-3,1.785823570e-5,1.795631444e-3,1.785823570e-5
186,1.784054278e-3,1.755002243e-5,1.784054278e-3,1.755002243e-5
187,1.772221397e-3,1.723898832e-5,1.772221397e-3,1.723898832e-5
188,1.760176466e-3,1.690362482e-5,1.760176466e-3,1.690362482e-5
189,1.747950220e-3,1.651570734e-5,1.747950220e-3,1.651570734e-5
190,1.735571325e-3,1.598501014e-5,1.735571325e-3,1.598501014e-5
191,1.723027918e-3,1.529573163e-5,1.723027918e-3,1.529573163e-5
192,1.710595566e-3,1.443997415e-5,1.710595566e-3,1.443997415e-5
193,1.698936802e-3,1.271694005e-5,1.698936802e-3,1.271694005e-5
194,1.688248927e-3,9.886488544e-6,1.688248927e-3,9.886488544e-6
195,1.677526335e-3,6.974596968e-6,1.677526335e-3,6.974596968e-6
196,1.665956574e-3,4.759720701e-6,1.665956574e-3,4.759720701e-6
197,1.653496675e-3,3.237429169e-6,1.653496675e-3,3.237429169e-6
198,1.640300298e-3,2.252821738e-6,1.640300298e-3,2.252821738e-6
199,1.626612911e-3,1.634314625e-6,1.626612911e-3,1.634314625e-6
200,1.612601139e-3,1.257510362e-6,1.612601139e-3,1.257510362e-6
201,1.598342439e-3,1.019170252e-6,1.598342439e-3,1.019170252e-6
202,1.583973496e-3,8.758468074e-7,1.583973496e-3,8.758468074e-7
203,1.569470869e-3,7.881044632e-7,1.569470869e-3,7.881044632e-7
204,1.554720416e-3,7.268034934e-7,1.554720416e-3,7.268034934e-7
205,1.539724219e-3,6.974895040e-7,1.539724219e-3,6.974895040e-7
206,1.524480043e-3,6.732387136e-7,1.524480043e-3,6.732387136e-7
207,1.509039233e-3,6.628555745e-7,1.509039233e-3,6.628555745e-7
208,1.493375001e-3,6.574193840e-7,1.493375001e-3,6.574193840e-7
209,1.477535484e-3,6.378493627e-7,1.477535484e-3,6.378493627e-7
210,1.461510386e-3,6.275949192e-7,1.461510386e-3,6.275949192e-7
211,1.446665547e-3,6.210303775e-7,1.446665547e-3,6.210303775e-7
212,1.430300402e-3,6.105133227e-7,1.430300402e-3,6.105133227e-7
