frame,div_px,div_pos,div_pos_l,div_pos_r
126,0.000000000e0,0.000000000e0,0,0
127,0.000000000e0,0.000000000e0,0,0
128,0.000000000e0,0.000000000e0,0,0
129,0.000000000e0,0.000000000e0,0,0
130,0.000000000e0,0.000000000e0,0,0
131,0.000000000e0,0.000000000e0,0,0
132,0.000000000e0,0.000000000e0,0,0
133,0.000000000e0,0.000000000e0,0,0
134,0.000000000e0,0.000000000e0,0,0
135,0.000000000e0,0.000000000e0,0,0
136,0.000000000e0,0.000000000e0,0,0
137,0.000000000e0,0.000000000e0,0,0
138,0.000000000e0,0.000000000e0,0,0
139,0.000000000e0,0.000000000e0,0,0
140,0.000000000e0,0.000000000e0,0,0
141,0.000000000e0,0.000000000e0,0,0
142,0.000000000e0,0.000000000e0,0,0
143,0.000000000e0,0.000000000e0,0,0
144,0.000000000e0,0.000000000e0,0,0
145,0.000000000e0,0.000000000e0,0,0
146,0.000000000e0,0.000000000e0,0,0
147,0.000000000e0,0.000000000e0,0,0
148,0.000000000e0,0.000000000e0,0,0
149,0.000000000e0,0.000000000e0,0,0
150,0.000000000e0,0.000000000e0,0,0
151,0.000000000e0,0.000000000e0,0,0
152,0.000000000e0,0.000000000e0,0,0
153,0.000000000e0,0.000000000e0,0,0
154,0.000000000e0,0.000000000e0,0,0
155,0.000000000e0,0.000000000e0,0,0
156,0.000000000e0,0.000000000e0,0,0
157,0.000000000e0,0.000000000e0,0,0
158,0.000000000e0,0.000000000e0,0,0
159,0.000000000e0,0.000000000e0,0,0
160,0.000000000e0,0.000000000e0,0,0
161,0.000000000e0,0.000000000e0,0,0
162,0.000000000e0,0.000000000e0,0,0
163,0.000000000e0,0.000000000e0,0,0
164,0.000000000e0,0.000000000e0,0,0
165,0.000000000e0,0.000000000e0,0,0
166,0.000000000e0,0.000000000e0,0,0
167,0.000000000e0,0.000000000e0,0,0
168,0.000000000e0,0.000000000e0,0,0
169,0.000000000e0,0.000000000e0,0,0
170,0.000000000e0,0.000000000e0,0,0
171,0.000000000e0,0.000000000e0,0,0
172,0.000000000e0,0.000000000e0,0,0
173,0.000000000e0,0.000000000e0,0,0
174,0.000000000e0,0.000000000e0,0,0
175,0.000000000e0,0.000000000e0,0,0
176,0.000000000e0,0.000000000e0,0,0
177,0.000000000e0,0.000000000e0,0,0
178,0.000000000e0,0.000000000e0,0,0
179,0.000000000e0,0.000000000e0,0,0
180,0.000000000e0,0.000000000e0,0,0
181,0.000000000e0,0.000000000e0,0,0
182,0.000000000e0,0.000000000e0,0,0
183,0.000000000e0,0.000000000e0,0,0
184,0.000000000e0,0.000000000e0,0,0
185,0.000000000e0,0.000000000e0,0,0
186,0.000000000e0,0.000000000e0,0,0
187,0.000000000e0,0.000000000e0,0,0
188,0.000000000e0,0.000000000e0,0,0
189,0.000000000e0,0.000000000e0,0,0
190,0.000000000e0,0.000000000e0,0,0
191,0.000000000e0,0.000000000e0,0,0
192,0.000000000e0,0.000000000e0,0,0
193,0.000000000e0,0.000000000e0,0,0
194,0.000000000e0,0.000000000e0,0,0
195,0.000000000e0,0.000000000e0,0,0
196,0.000000000e0,0.000000000e0,0,0
197,0.000000000e0,0.000000000e0,0,0
198,0.000000000e0,0.000000000e0,0,0
199,0.000000000e0,0.000000000e0,0,0
200,0.000000000e0,0.000000000e0,0,0
201,0.000000000e0,0.000000000e0,0,0
202,0.000000000e0,0.000000000e0,0,0
203,0.000000000e0,0.000000000e0,0,0
204,0.000000000e0,0.000000000e0,0,0
205,0.000000000e0,0.000000000e0,0,0
206,0.000000000e0,0.000000000e0,0,0
207,0.000000000e0,0.000000000e0,0,0
208,0.000000000e0,0.000000000e0,0,0
209,0.000000000e0,0.000000000e0,0,0
210,0.000000000e0,0.000000000e0,0,0
211,0.000000000e0,0.000000000e0,0,0
212,0.000000000e0,0.000000000e0,0,0
213,0.000000000e0,0.000000000e0,0,0
214,0.000000000e0,0.000000000e0,0,0
215,0.000000000e0,0.000000000e0,0,0
216,0.000000000e0,0.000000000e0,0,0
217,0.000000000e0,0.000000000e0,0,0
218,0.000000000e0,0.000000000e0,0,0
219,0.000000000e0,0.000000000e0,0,0
220,0.000000000e0,0.000000000e0,0,0
221,0.000000000e0,0.000000000e0,0,0
222,0.000000000e0,0.000000000e0,0,0
223,0.000000000e0,0.000000000e0,0,0
224,0.000000000e0,0.000000000e0,0,0
225,0.000000000e0,0.000000000e0,0,0
226,0.000000000e0,0.000000000e0,0,0
227,0.000000000e0,0.000000000e0,0,0
228,0.000000000e0,0.000000000e0,0,0
229,0.000000000e0,0.000000000e0,0,0
230,0.000000000e0,0.000000000e0,0,0
231,0.000000000e0,0.000000000e0,0,0
232,0.000000000e0,0.000000000e0,0,0
233,0.000000000e0,0.000000000e0,0,0
234,0.000000000e0,0.000000000e0,0,0
235,0.000000000e0,0.000000000e0,0,0
236,0.000000000e0,0.000000000e0,0,0
237,0.000000000e0,0.000000000e0,0,0
238,0.000000000e0,0.000000000e0,0,0
239,0.000000000e0,0.000000000e0,0,0
240,1.920856318e-3,1.642437616e2,4.841926722e1,1.158244944e2
241,1.970968266e-3,1.642442428e2,4.841975451e1,1.158244883e2
242,2.398218905e-3,1.642611347e2,4.843655393e1,1.158245807e2
243,2.408990624e-3,1.642821369e2,4.845756470e1,1.158245722e2
244,2.373102131e-3,1.643060501e2,4.848148509e1,1.158245650e2
245,2.348828652e-3,1.643331336e2,4.850857540e1,1.158245582e2
246,2.333102267e-3,1.643619069e2,4.853735481e1,1.158245521e2
247,2.290990843e-3,1.643920216e2,4.856747525e1,1.158245463e2
248,2.309437824e-3,1.644246019e2,4.860006129e1,1.158245406e2
249,2.264240732e-3,1.644588272e2,4.863429233e1,1.158245348e2
250,2.270880874e-3,1.644937441e2,4.866921493e1,1.158245292e2
251,2.280473463e-3,1.645283323e2,4.870380872e1,1.158245236e2
252,2.288320536e-3,1.645664037e2,4.874188561e1,1.158245181e2
253,2.308159296e-3,1.646028465e2,4.877833370e1,1.158245128e2
254,2.306042547e-3,1.646422666e2,4.881775913e1,1.158245075e2
255,2.303297010e-3,1.646786521e2,4.885414978e1,1.158245023e2
256,2.306755693e-3,1.647174305e2,4.889293270e1,1.158244978e2
257,2.304130419e-3,1.647586976e2,4.893420357e1,1.158244940e2
258,2.354004859e-3,1.648025498e2,4.897805927e1,1.158244906e2
259,2.351355487e-3,1.648412789e2,4.901679137e1,1.158244876e2
260,2.323354618e-3,1.648819295e2,4.905744486e1,1.158244847e2
261,2.323664294e-3,1.649245639e2,4.910008179e1,1.158244821e2
262,2.315820900e-3,1.649692465e2,4.914476634e1,1.158244802e2
263,2.305746362e-3,1.650160338e2,4.919155535e1,1.158244784e2
264,2.298685190e-3,1.650551939e2,4.923071685e1,1.158244770e2
265,2.304409833e-3,1.650957791e2,4.927130283e1,1.158244763e2
266,2.295429676e-3,1.651378154e2,4.931333953e1,1.158244759e2
267,2.276101355e-3,1.651813279e2,4.935685244e1,1.158244755e2
268,2.257506323e-3,1.652263552e2,4.940188017e1,1.158244751e2
269,2.238692674e-3,1.652729311e2,4.944845619e1,1.158244750e2
270,2.226213114e-3,1.653210903e2,4.949661528e1,1.158244751e2
271,2.214727441e-3,1.653708678e2,4.954639227e1,1.158244755e2
272,2.216797980e-3,1.654222962e2,4.959782009e1,1.158244761e2
273,2.230577816e-3,1.654621905e2,4.963771387e1,1.158244766e2
274,2.240311032e-3,1.655030518e2,4.967857458e1,1.158244772e2
275,2.245546260e-3,1.655448954e2,4.972041773e1,1.158244777e2
276,2.253528232e-3,1.655877347e2,4.976325654e1,1.158244782e2
277,2.288530955e-3,1.656315830e2,4.980710427e1,1.158244788e2
278,2.369051398e-3,1.656764296e2,4.985195021e1,1.158244794e2
279,2.377720889e-3,1.657223066e2,4.989782651e1,1.158244801e2
280,2.367146935e-3,1.657692624e2,4.994478155e1,1.158244809e2
281,2.527995291e-3,1.658172970e2,4.999281540e1,1.158244816e2
282,2.657524528e-3,1.658663862e2,5.004190355e1,1.158244826e2
283,2.693686034e-3,1.659165613e2,5.009207742e1,1.158244839e2
284,2.707294783e-3,1.659678574e2,5.014337192e1,1.158244855e2
285,2.693896031e-3,1.660202834e2,5.019579613e1,1.158244873e2
286,2.705788866e-3,1.660738478e2,5.024935849e1,1.158244893e2
287,2.742045605e-3,1.661285528e2,5.030406102e1,1.158244918e2
288,2.730635271e-3,1.661844114e2,5.035991687e1,1.158244945e2
289,2.714198699e-3,1.662414516e2,5.041695379e1,1.158244978e2
290,2.715356034e-3,1.662996909e2,5.047518964e1,1.158245012e2
291,2.700667297e-3,1.663394600e2,5.051495509e1,1.158245049e2
292,2.688883099e-3,1.663797676e2,5.055525860e1,1.158245090e2
293,2.719623300e-3,1.664206214e2,5.059610777e1,1.158245136e2
294,2.733944315e-3,1.664620293e2,5.063751099e1,1.158245183e2
295,2.705359042e-3,1.665039975e2,5.067947471e1,1.158245228e2
296,2.737198890e-3,1.665465109e2,5.072198385e1,1.158245270e2
297,2.721653410e-3,1.665895726e2,5.076504173e1,1.158245309e2
298,2.711415926e-3,1.666332052e2,5.080867081e1,1.158245344e2
299,2.689094450e-3,1.666774209e2,5.085288338e1,1.158245375e2
300,2.680701455e-3,1.667222181e2,5.089767783e1,1.158245402e2
301,2.671136803e-3,1.667676020e2,5.094305924e1,1.158245428e2
302,2.660229718e-3,1.668135773e2,5.098903207e1,1.158245452e2
303,2.640089847e-3,1.668601461e2,5.103559897e1,1.158245472e2
304,2.636716921e-3,1.669073155e2,5.108276674e1,1.158245487e2
305,2.668241184e-3,1.669550945e2,5.113054455e1,1.158245500e2
306,2.673995652e-3,1.670034843e2,5.117893355e1,1.158245507e2
307,2.657927385e-3,1.670524867e2,5.122793546e1,1.158245512e2
308,2.631703408e-3,1.671021031e2,5.127755138e1,1.158245517e2
309,2.607182963e-3,1.671523410e2,5.132778854e1,1.158245524e2
310,2.574668212e-3,1.672031965e2,5.137864306e1,1.158245534e2
311,2.544990183e-3,1.672546763e2,5.143012167e1,1.158245546e2
312,2.523043243e-3,1.673067889e2,5.148223310e1,1.158245558e2
313,2.510741448e-3,1.673595287e2,5.153497154e1,1.158245571e2
314,2.488150731e-3,1.674129037e2,5.158834536e1,1.158245583e2
315,2.470987069e-3,1.674669244e2,5.164236496e1,1.158245595e2
316,2.453093242e-3,1.675215954e2,5.169703493e1,1.158245605e2
317,2.427274329e-3,1.675769186e2,5.175235722e1,1.158245613e2
318,2.421309605e-3,1.676328994e2,5.180833729e1,1.158245621e2
319,2.427017801e-3,1.676895456e2,5.186498285e1,1.158245628e2
320,2.400356226e-3,1.677468670e2,5.192230368e1,1.158245633e2
321,2.372233989e-3,1.678048608e2,5.198029720e1,1.158245636e2
322,2.365152501e-3,1.678635343e2,5.203897042e1,1.158245639e2
323,2.398652680e-3,1.679228919e2,5.209832772e1,1.158245641e2
324,2.398077600e-3,1.679829516e2,5.215838730e1,1.158245643e2
325,2.395852341e-3,1.680437100e2,5.221914563e1,1.158245643e2
326,2.382980502e-3,1.681051707e2,5.228060628e1,1.158245644e2
327,2.371822753e-3,1.681673383e2,5.234277382e1,1.158245645e2
328,2.349973294e-3,1.682302182e2,5.240565359e1,1.158245646e2
329,2.339210913e-3,1.682938165e2,5.246925174e1,1.158245647e2
330,2.358126715e-3,1.683581395e2,5.253357463e1,1.158245649e2
331,2.355243381e-3,1.684231917e2,5.259862670e1,1.158245650e2
332,2.329759530e-3,1.684889775e2,5.266441234e1,1.158245652e2
