   L        h*geom               excess      CF%        z     N_eff        F
   8   0.05746star           2.5092e-03   0.3620     83.7   8.9e+04      148
   8   0.05746colin-r2       3.6704e-03   0.5295     74.5   8.4e+04      156
  16   0.01567star           1.5955e-03   0.2302     90.9   6.4e+04      825
  16   0.01567colin-r4       4.9454e-03   0.7135     96.9   5.2e+04      999
  32   0.00427star           1.1146e-03   0.1608     21.9   1.1e+04     4872
  32   0.00427colin-r8       4.5626e-03   0.6582     43.0   7.7e+03     6837
  64   0.00116star           8.8396e-04   0.1275      7.3   6.0e+03    35022
  64   0.00116colin-r16      3.6999e-03   0.5338     19.2   3.8e+03    55426
wrote ising_mc_ridge.json
