frame,moment,rms_signed,rms_abs
0,0,1.473160951e-4,1.497623015e-4
0,1,4.221278423e-3,4.721741724e-3
0,2,2.181176676e-4,2.181176676e-4
0,3,1.394959689e-5,1.394959689e-5
0,4,4.357765032e-4,4.357765032e-4
0,5,1.921040397e-6,2.087045702e-6
0,6,1.307258655e-4,1.307258655e-4
0,7,1.554520129e-6,1.554525763e-6
0,8,1.271128428e-4,1.307148732e-4
300,0,2.086257853e-4,3.825574616e-4
300,1,3.284058433e-3,4.968252175e-3
300,2,1.641164202e-4,1.641164202e-4
300,3,2.797924587e-5,2.797924587e-5
300,4,3.050448217e-4,3.050448217e-4
300,5,4.231369738e-5,4.879550016e-5
300,6,5.307286055e-5,5.307286055e-5
300,7,6.427652020e-6,6.518248191e-6
300,8,3.532210476e-5,3.897553291e-5
1200,0,8.310951464e-5,3.421765570e-4
1200,1,6.549215139e-4,3.242549292e-3
1200,2,8.531453112e-5,8.531453112e-5
1200,3,2.138341027e-5,2.138341027e-5
1200,4,1.514531757e-4,1.514531757e-4
1200,5,9.178031530e-6,2.462420358e-5
1200,6,1.795761900e-5,1.795761900e-5
1200,7,5.605988596e-6,5.842734802e-6
1200,8,4.392203647e-6,1.024226722e-5
