frame,micro_div,d_momx,d_momy,d_ke,d_comx,rand_00,rand_01,rand_02,rand_03,rand_04,rand_05,rand_06,rand_07,rand_08,rand_09,rand_10,rand_11,rand_12,rand_13,rand_14,rand_15,rand_16,rand_17,rand_18,rand_19,rand_20,rand_21,rand_22,rand_23,rand_24,rand_25,rand_26,rand_27,rand_28,rand_29,rand_30,rand_31,rand_32,rand_33,rand_34,rand_35,rand_36,rand_37,rand_38,rand_39,rand_40,rand_41,rand_42,rand_43,rand_44,rand_45,rand_46,rand_47,rand_48,rand_49,rand_50,rand_51,rand_52,rand_53,rand_54,rand_55,rand_56,rand_57,rand_58,rand_59,rand_60,rand_61,rand_62,rand_63,join,only_a,only_b
10,2.385084510e-2,3.595727463e-6,2.784223595e-4,5.907990436e-4,6.642614743e-10,1.107691441e0,2.237554989e0,2.238454495e0,4.185480573e0,8.503732121e-1,1.608765978e0,3.771907069e0,1.285269553e0,6.589759889e-1,2.787827819e0,2.535024097e0,3.218376733e0,4.165437410e0,1.462976574e0,1.406964806e0,3.812819825e-1,1.426811709e0,1.129398425e0,1.951797187e0,5.833576870e-1,3.631511061e0,1.396788835e0,2.052371637e0,1.620250423e0,2.982120323e0,9.437547265e-1,4.459903746e-1,3.144522856e0,4.684585429e0,2.339995307e0,1.854620568e0,3.495362686e0,2.340390417e0,1.122413066e0,3.189949724e0,1.352504139e0,1.048310131e0,4.076341094e0,1.047707019e0,2.278470757e0,3.235019730e0,1.013813458e0,1.458531204e0,1.510692854e0,1.194590810e0,1.412933119e0,3.168829628e0,5.437942155e0,1.554504444e0,5.782586629e-1,3.676373676e0,9.761368133e-1,3.882194166e-1,1.263942652e0,4.034290533e0,1.361911955e-1,2.515296821e0,3.321831066e0,1.908024622e0,1.022749679e0,7.951968988e-1,1.258056236e0,1.886692849e0,3.052636545e0,118283,0,0
11,2.376592913e-2,3.835219450e-6,3.476426456e-4,5.920189424e-4,7.429350986e-10,1.103710176e0,2.243165397e0,2.243807555e0,4.176843187e0,8.431357505e-1,1.610543480e0,3.766653861e0,1.274610389e0,6.547885227e-1,2.778294170e0,2.544315965e0,3.222343048e0,4.161073212e0,1.462278553e0,1.394272514e0,3.783796808e-1,1.418796090e0,1.134420086e0,1.956028776e0,5.809911228e-1,3.628125596e0,1.385814585e0,2.047808733e0,1.605166068e0,2.973307861e0,9.457115002e-1,4.371319831e-1,3.145279055e0,4.677870210e0,2.325434234e0,1.838882626e0,3.486937147e0,2.328915182e0,1.128371641e0,3.182828239e0,1.339536336e0,1.039987728e0,4.060210037e0,1.056795533e0,2.277247338e0,3.233572865e0,1.003463142e0,1.444788526e0,1.513485140e0,1.183150625e0,1.422160406e0,3.164755539e0,5.434248665e0,1.547197752e0,5.725827442e-1,3.672407768e0,9.682803588e-1,3.847914042e-1,1.256971550e0,4.024708425e0,1.386832034e-1,2.517764848e0,3.324013491e0,1.908225488e0,1.019093941e0,7.901737868e-1,1.246946302e0,1.873355587e0,3.047253067e0,118283,0,0
12,2.375110415e-2,4.522637226e-6,4.321352801e-4,5.935534390e-4,8.327367484e-10,1.097215209e0,2.247110761e0,2.248535423e0,4.163144179e0,8.371276598e-1,1.612798220e0,3.757072600e0,1.265746228e0,6.522436580e-1,2.766082359e0,2.554450805e0,3.227018426e0,4.153311677e0,1.470383363e0,1.384476523e0,3.740319698e-1,1.412047875e0,1.143759104e0,1.963580293e0,5.803564669e-1,3.621431795e0,1.382863953e0,2.039738089e0,1.592868798e0,2.960181492e0,9.450483768e-1,4.263694874e-1,3.142894173e0,4.667649191e0,2.308171753e0,1.825537130e0,3.475443911e0,2.317453878e0,1.133242710e0,3.172881718e0,1.328090804e0,1.030920604e0,4.040125538e0,1.071477300e0,2.272830578e0,3.231546852e0,9.975141711e-1,1.437143376e0,1.519073556e0,1.174725617e0,1.432572708e0,3.158223070e0,5.426784343e0,1.538046942e0,5.671757381e-1,3.665418941e0,9.607477273e-1,3.799556760e-1,1.250345332e0,4.011256838e0,1.324348518e-1,2.521798701e0,3.326188707e0,1.909611890e0,1.015756000e0,7.843920254e-1,1.239123994e0,1.861284134e0,3.038580702e0,118283,0,0
13,2.375091394e-2,5.498301345e-6,5.202489713e-4,5.947052200e-4,9.419197935e-10,1.089651410e0,2.249205751e0,2.251438740e0,4.145267605e0,8.322186861e-1,1.613891276e0,3.744037480e0,1.257566461e0,6.505000621e-1,2.751649099e0,2.562943626e0,3.229444881e0,4.141637443e0,1.481243816e0,1.376080779e0,3.706278555e-1,1.405169296e0,1.153306196e0,1.970861725e0,5.812438305e-1,3.611327580e0,1.382541486e0,2.029668409e0,1.581475378e0,2.944144074e0,9.439534794e-1,4.158029208e-1,3.137606493e0,4.652999305e0,2.289238096e0,1.812472535e0,3.460706837e0,2.304799742e0,1.137499611e0,3.160028056e0,1.317591226e0,1.023217281e0,4.016685814e0,1.086508778e0,2.266434298e0,3.227084394e0,9.922647035e-1,1.431501292e0,1.524687089e0,1.166792743e0,1.442145821e0,3.148927957e0,5.414271156e0,1.528010672e0,5.624992848e-1,3.655079056e0,9.545105606e-1,3.757548278e-1,1.243754052e0,3.993847158e0,1.288167909e-1,2.524654317e0,3.326018024e0,1.910279552e0,1.011972292e0,7.783959707e-1,1.233023132e0,1.849226706e0,3.026929593e0,118283,0,0
14,2.368693612e-2,6.626701294e-6,5.769043803e-4,5.939707415e-4,1.079032226e-9,1.084270960e0,2.247709371e0,2.249455143e0,4.128054477e0,8.247841709e-1,1.610467699e0,3.730568152e0,1.245245192e0,6.454676506e-1,2.737637472e0,2.563002340e0,3.223191910e0,4.127026708e0,1.477610467e0,1.363557761e0,3.686988235e-1,1.394918118e0,1.154134559e0,1.968296180e0,5.795780678e-1,3.599063523e0,1.371570513e0,2.021248381e0,1.567451638e0,2.930297287e0,9.429986218e-1,4.065649240e-1,3.130231411e0,4.635084930e0,2.272884879e0,1.796656200e0,3.445166461e0,2.290127251e0,1.139553355e0,3.146227171e0,1.305966191e0,1.015345566e0,3.994294726e0,1.091132538e0,2.259894501e0,3.216556513e0,9.817009645e-1,1.418542301e0,1.522242876e0,1.155634757e0,1.445412806e0,3.137194976e0,5.396758173e0,1.518976595e0,5.561924435e-1,3.642147251e0,9.472497028e-1,3.708463066e-1,1.235079872e0,3.975561685e0,1.321905706e-1,2.519279610e0,3.317963701e0,1.904510660e0,1.005821534e0,7.731144725e-1,1.222191374e0,1.834202006e0,3.014795054e0,118283,0,0
15,2.362802179e-2,1.160948833e-5,6.010423005e-4,5.914816125e-4,1.962565743e-9,1.080263400e0,2.240632084e0,2.242355301e0,4.109491974e0,8.201307306e-1,1.601414621e0,3.713468968e0,1.231791712e0,6.391119646e-1,2.725011753e0,2.553613354e0,3.208516880e0,4.108057841e0,1.471455436e0,1.353040276e0,3.772187832e-1,1.384508658e0,1.151872833e0,1.959173527e0,5.785376630e-1,3.582651544e0,1.360673437e0,2.012877716e0,1.557885616e0,2.917843664e0,9.433353926e-1,4.099043315e-1,3.117286691e0,4.612370876e0,2.263368979e0,1.783982375e0,3.427536989e0,2.274590772e0,1.135880059e0,3.129959739e0,1.299159180e0,1.009270512e0,3.972897321e0,1.089334584e0,2.250303136e0,3.201166340e0,9.757198272e-1,1.409283336e0,1.514415840e0,1.146762500e0,1.441338605e0,3.121061881e0,5.371091466e0,1.511915918e0,5.491028654e-1,3.624159837e0,9.421906312e-1,3.665205139e-1,1.224902033e0,3.956463560e0,1.326528608e-1,2.507430950e0,3.302436724e0,1.895059058e0,1.001810328e0,7.728835796e-1,1.213102224e0,1.820334743e0,3.001153222e0,118283,0,0
16,2.360999770e-2,1.273612815e-5,6.554604499e-4,5.906855150e-4,2.018906963e-9,1.075300047e0,2.238820330e0,2.239890403e0,4.094371417e0,8.154257071e-1,1.599243200e0,3.701433994e0,1.221824804e0,6.339000834e-1,2.714816105e0,2.553339967e0,3.202830395e0,4.095456269e0,1.472774021e0,1.345380383e0,3.813760776e-1,1.377633573e0,1.153237222e0,1.958162894e0,5.795337468e-1,3.571844821e0,1.355241033e0,2.004978491e0,1.549810285e0,2.906396178e0,9.421290157e-1,4.079064311e-1,3.109759411e0,4.597471821e0,2.252640173e0,1.773818494e0,3.415162776e0,2.263699966e0,1.136298173e0,3.118738138e0,1.293017713e0,1.004245546e0,3.955507003e0,1.093198433e0,2.243730243e0,3.192609566e0,9.710592295e-1,1.403104652e0,1.513257427e0,1.139991999e0,1.443541182e0,3.111438530e0,5.356020148e0,1.505532254e0,5.445018193e-1,3.613204501e0,9.383499631e-1,3.619460177e-1,1.217669838e0,3.941415671e0,1.336393768e-1,2.502403907e0,3.295583831e0,1.890512778e0,9.983447865e-1,7.713152508e-1,1.206815514e0,1.809432076e0,2.990305060e0,118283,0,0
17,2.361412716e-2,1.255857912e-5,7.101955823e-4,5.911313943e-4,2.108430766e-9,1.071366298e0,2.236098401e0,2.239772018e0,4.081507630e0,8.128482243e-1,1.596416356e0,3.689714830e0,1.212057630e0,6.318896228e-1,2.702473251e0,2.555841016e0,3.202501917e0,4.085762821e0,1.481396433e0,1.339606844e0,3.817454438e-1,1.367942244e0,1.159071733e0,1.962246447e0,5.829305378e-1,3.562426563e0,1.355695456e0,1.998842750e0,1.543945745e0,2.895494926e0,9.417189281e-1,4.008758637e-1,3.102895414e0,4.584912022e0,2.240525574e0,1.764024427e0,3.402273290e0,2.250619878e0,1.136108278e0,3.107123837e0,1.288888714e0,1.000733057e0,3.936901554e0,1.102318687e0,2.237292103e0,3.188641231e0,9.647836329e-1,1.400177936e0,1.516664339e0,1.133886538e0,1.447092455e0,3.101185811e0,5.342646849e0,1.498134840e0,5.381851850e-1,3.602503521e0,9.358240713e-1,3.578703986e-1,1.209633278e0,3.929320700e0,1.337008192e-1,2.503802602e0,3.293592570e0,1.890930633e0,9.961041020e-1,7.670303767e-1,1.203288129e0,1.797863907e0,2.982516301e0,118283,0,0
18,2.351138041e-2,1.231212712e-5,7.428851620e-4,5.880805990e-4,2.233396420e-9,1.068265467e0,2.226459197e0,2.230143481e0,4.064063699e0,8.035781121e-1,1.587451778e0,3.673465010e0,1.192919152e0,6.197407832e-1,2.687344549e0,2.544258845e0,3.185872406e0,4.066526456e0,1.464330760e0,1.323880923e0,3.791704435e-1,1.350994485e0,1.149875353e0,1.949270998e0,5.807818690e-1,3.546103044e0,1.336268929e0,1.991292939e0,1.530976039e0,2.883326508e0,9.371713256e-1,3.876981679e-1,3.090217452e0,4.562572144e0,2.227836994e0,1.747155229e0,3.385085433e0,2.232645279e0,1.132112864e0,3.091461451e0,1.279763945e0,9.925362448e-1,3.915561872e0,1.095287883e0,2.228174970e0,3.170733669e0,9.475849315e-1,1.382501695e0,1.506423858e0,1.121191855e0,1.441704735e0,3.085164991e0,5.317419528e0,1.489505265e0,5.262246081e-1,3.585058591e0,9.282126578e-1,3.495807503e-1,1.196723187e0,3.909921948e0,1.344034382e-1,2.488421436e0,3.276061243e0,1.877866554e0,9.867805254e-1,7.608266239e-1,1.188668948e0,1.778885921e0,2.969023947e0,118283,0,0
19,2.341077815e-2,1.186989247e-5,7.443783640e-4,5.842212557e-4,2.396964930e-9,1.066410543e0,2.212685393e0,2.217200044e0,4.046390094e0,7.937488454e-1,1.574316046e0,3.655264490e0,1.173605086e0,6.105107684e-1,2.671259108e0,2.526917104e0,3.164872090e0,4.045338780e0,1.442673441e0,1.308034271e0,3.765337308e-1,1.332836523e0,1.138003252e0,1.931843681e0,5.767944398e-1,3.527343477e0,1.315187939e0,1.984769321e0,1.517987661e0,2.871732305e0,9.331327278e-1,3.768974221e-1,3.074569645e0,4.537572140e0,2.216326602e0,1.730350721e0,3.366138592e0,2.213365370e0,1.125299348e0,3.073917325e0,1.270900640e0,9.847516410e-1,3.893509267e0,1.084668783e0,2.217479894e0,3.150566676e0,9.300935041e-1,1.363895577e0,1.492368624e0,1.108459512e0,1.431387705e0,3.066003194e0,5.287316079e0,1.480922613e0,5.149105030e-1,3.564433106e0,9.205791243e-1,3.419849363e-1,1.183045786e0,3.890443229e0,1.376033842e-1,2.470806297e0,3.254404370e0,1.863096374e0,9.775084727e-1,7.547810914e-1,1.173602351e0,1.759466414e0,2.955885512e0,118283,0,0
