frame,micro_div,d_momx,d_momy,d_ke,d_comx,rand_00,rand_01,rand_02,rand_03,rand_04,rand_05,rand_06,rand_07,rand_08,rand_09,rand_10,rand_11,rand_12,rand_13,rand_14,rand_15,rand_16,rand_17,rand_18,rand_19,rand_20,rand_21,rand_22,rand_23,rand_24,rand_25,rand_26,rand_27,rand_28,rand_29,rand_30,rand_31,rand_32,rand_33,rand_34,rand_35,rand_36,rand_37,rand_38,rand_39,rand_40,rand_41,rand_42,rand_43,rand_44,rand_45,rand_46,rand_47,rand_48,rand_49,rand_50,rand_51,rand_52,rand_53,rand_54,rand_55,rand_56,rand_57,rand_58,rand_59,rand_60,rand_61,rand_62,rand_63,join,only_a,only_b
0,2.852645900e-2,3.237255799e-6,5.888948293e-6,3.247764388e-4,5.882539826e-11,6.461098362e-1,1.256706320e0,1.186518240e0,2.340199585e0,3.302205672e-1,8.258294402e-1,2.127385542e0,5.654857611e-1,1.440297008e-1,1.578508878e0,1.280299409e0,1.584367503e0,2.248237990e0,9.755381686e-2,6.118299239e-1,2.022134620e-1,7.268520210e-1,4.098706282e-1,7.887720815e-1,1.782991330e-1,1.996924601e0,3.508604450e-1,1.158087280e0,7.877929215e-1,1.700075559e0,5.090016086e-1,1.198336000e-1,1.772057850e0,2.528728850e0,1.324873402e0,9.345897607e-1,1.947263119e0,1.274744115e0,6.340736169e-1,1.778439495e0,6.724689200e-1,4.814013521e-1,2.296036352e0,3.833766855e-1,1.306164588e0,1.606419507e0,4.241105551e-1,5.647551855e-1,5.730958014e-1,5.705260223e-1,7.237604016e-1,1.748456894e0,2.965098586e0,8.811849128e-1,2.210988178e-1,2.027178431e0,4.391684783e-1,1.477725651e-1,6.460469113e-1,2.174836640e0,5.806346653e-2,1.149867323e0,1.642628954e0,8.376737640e-1,4.299972923e-1,4.438129701e-1,4.846333681e-1,9.590414429e-1,1.658294609e0,118283,0,0
1,2.507492807e-2,2.445312094e-6,4.350652281e-5,4.418156301e-4,1.298396675e-10,9.027630881e-1,1.779086514e0,1.641990184e0,3.324542146e0,5.173423616e-1,1.220263589e0,3.049744054e0,8.996992044e-1,1.094173805e-1,2.311262183e0,1.776680950e0,2.196136659e0,3.179099954e0,4.733559130e-2,9.700420817e-1,2.819867437e-1,1.123388186e0,4.967075112e-1,1.065939882e0,2.724277533e-1,2.849964809e0,6.289693194e-1,1.621738560e0,1.227484129e0,2.428428414e0,6.709803531e-1,1.361086100e-1,2.515438092e0,3.611521796e0,1.954400626e0,1.452411336e0,2.828262636e0,1.930467254e0,8.908674979e-1,2.584657023e0,1.038546764e0,7.312692014e-1,3.374369348e0,4.429195379e-1,1.861894745e0,2.235514807e0,7.070260906e-1,9.328883412e-1,7.784504583e-1,9.110085635e-1,1.005935265e0,2.542882849e0,4.244664878e0,1.291967661e0,3.481932897e-1,2.922702218e0,6.681250344e-1,2.450486912e-1,9.875071642e-1,3.084598458e0,3.782774475e-2,1.543456519e0,2.293115266e0,1.127682070e0,5.836267819e-1,6.544258535e-1,7.781284556e-1,1.485822461e0,2.323007506e0,118283,0,0
2,2.154134014e-2,6.943307618e-7,1.944690239e-4,4.605923539e-4,1.638710448e-10,9.472531755e-1,1.919308832e0,1.735613690e0,3.558068914e0,5.874494814e-1,1.367167629e0,3.296839566e0,1.057113861e0,8.999635202e-2,2.536427900e0,1.895272215e0,2.325555889e0,3.401185891e0,9.548314003e-2,1.118530957e0,2.928771137e-1,1.293155820e0,4.708241958e-1,1.116393217e0,2.938810514e-1,3.073698315e0,7.705121377e-1,1.712962950e0,1.387497890e0,2.605901327e0,6.814495896e-1,1.264137130e-1,2.703760708e0,3.895655678e0,2.143228829e0,1.651722217e0,3.088149312e0,2.176270596e0,9.619652148e-1,2.825205202e0,1.165635023e0,8.226328904e-1,3.708567185e0,4.025678065e-1,2.006122350e0,2.367553674e0,8.493425250e-1,1.096415944e0,8.206146658e-1,1.054493748e0,1.078781185e0,2.789353316e0,4.593999085e0,1.415592066e0,4.178878172e-1,3.181559239e0,7.450853436e-1,3.114239721e-1,1.124628129e0,3.299354957e0,8.560057223e-2,1.591014608e0,2.442052563e0,1.167131373e0,6.055446929e-1,7.225668465e-1,9.029711123e-1,1.698776813e0,2.458739568e0,118283,0,0
3,1.857451234e-2,1.123767842e-6,4.996413502e-4,4.280911574e-4,1.500358842e-10,8.736165389e-1,1.877971984e0,1.645626748e0,3.402522754e0,6.010602132e-1,1.408059654e0,3.206350311e0,1.148015765e0,1.144509259e-1,2.513706128e0,1.828278091e0,2.209022849e0,3.259562462e0,1.615918657e-1,1.168835548e0,2.559064964e-1,1.373151397e0,3.800589284e-1,1.052807947e0,2.671917345e-1,2.981282471e0,8.541034465e-1,1.602041170e0,1.408579636e0,2.496844775e0,5.975318503e-1,8.944735896e-2,2.616700330e0,3.777306507e0,2.107015667e0,1.702360483e0,3.042973940e0,2.237021315e0,9.467795033e-1,2.789087745e0,1.166826564e0,8.226346805e-1,3.677290246e0,3.050470014e-1,1.944556995e0,2.240337335e0,9.382353532e-1,1.164608221e0,7.827620708e-1,1.108814277e0,1.056688003e0,2.772876811e0,4.484226518e0,1.395579174e0,4.727127193e-1,3.128552195e0,7.409597274e-1,3.595691956e-1,1.176579982e0,3.151620094e0,7.658210504e-2,1.449189898e0,2.335640231e0,1.069138917e0,5.531889692e-1,7.164683850e-1,9.455943739e-1,1.772899067e0,2.312823257e0,118283,0,0
4,1.631260939e-2,1.175709478e-6,8.566111529e-4,3.972809004e-4,1.446458545e-10,7.905743496e-1,1.832137939e0,1.556555895e0,3.213514362e0,5.980969621e-1,1.436592434e0,3.085188728e0,1.217372593e0,2.064737838e-1,2.455365046e0,1.765528210e0,2.091302473e0,3.093150267e0,2.019130752e-1,1.184740974e0,2.121807482e-1,1.430520455e0,3.083059681e-1,9.982213892e-1,2.264940129e-1,2.863735068e0,8.975033458e-1,1.477487894e0,1.386128026e0,2.358311813e0,5.216914865e-1,6.409649494e-2,2.513444371e0,3.623729026e0,2.030135433e0,1.708828602e0,2.960243772e0,2.258725995e0,9.347925628e-1,2.719199802e0,1.130027074e0,8.011343016e-1,3.589765138e0,2.329243709e-1,1.868309739e0,2.104730430e0,9.977809964e-1,1.188454822e0,7.514959607e-1,1.129698546e0,1.040931819e0,2.726727575e0,4.336523824e0,1.353301414e0,5.229769809e-1,3.045140229e0,7.163116817e-1,4.031051185e-1,1.210259862e0,2.972612949e0,7.782653813e-2,1.316202518e0,2.223597475e0,9.760218990e-1,4.987919034e-1,6.960414271e-1,9.573281177e-1,1.810148507e0,2.149371660e0,118283,0,0
5,1.513032976e-2,8.525737405e-6,1.015276896e-3,3.716128258e-4,9.931013168e-11,7.309518372e-1,1.765491574e0,1.472741129e0,3.041915135e0,5.834450275e-1,1.419558487e0,2.953022708e0,1.226911268e0,2.797928035e-1,2.370427160e0,1.692024345e0,1.980517921e0,2.935893376e0,2.274170411e-1,1.170552294e0,1.944303895e-1,1.428341834e0,2.612976197e-1,9.457887672e-1,2.090776047e-1,2.737530351e0,9.031048216e-1,1.381548217e0,1.345706199e0,2.233339364e0,4.823318853e-1,7.782371862e-2,2.401400976e0,3.461019233e0,1.946614986e0,1.676506432e0,2.850308172e0,2.221547580e0,9.116298221e-1,2.621193265e0,1.088942045e0,7.835040279e-1,3.464793820e0,1.873238497e-1,1.785796352e0,1.986061924e0,1.007672932e0,1.177034642e0,7.166637466e-1,1.116997882e0,1.007117572e0,2.641191945e0,4.159985975e0,1.301449072e0,5.411626675e-1,2.932349234e0,6.945477725e-1,4.195727446e-1,1.201521634e0,2.811944740e0,1.252470361e-1,1.219394071e0,2.113945106e0,9.045874500e-1,4.588215402e-1,6.724001055e-1,9.469143904e-1,1.791334192e0,2.016218747e0,118283,0,0
6,1.518905346e-2,8.826401853e-6,1.032269895e-3,3.342911728e-4,2.519389971e-10,6.680012343e-1,1.651253723e0,1.348296823e0,2.834428409e0,5.742327195e-1,1.367023604e0,2.776255613e0,1.218556406e0,3.214949271e-1,2.261192456e0,1.561106120e0,1.816394720e0,2.730997622e0,2.789456159e-1,1.161868056e0,1.798966669e-1,1.404041275e0,1.878104619e-1,8.533075193e-1,2.021018660e-1,2.565944965e0,9.295787341e-1,1.269635770e0,1.323005399e0,2.088781179e0,4.175260907e-1,7.386269836e-2,2.242655842e0,3.245846058e0,1.861816428e0,1.647809705e0,2.704931391e0,2.160197885e0,8.512733104e-1,2.489040116e0,1.067189339e0,7.646937172e-1,3.310102002e0,1.087227632e-1,1.672417752e0,1.824910038e0,1.018062356e0,1.185337500e0,6.509059271e-1,1.110642689e0,9.325893115e-1,2.512183714e0,3.911055226e0,1.241636047e0,5.400354228e-1,2.771531355e0,6.768725069e-1,4.246396956e-1,1.174097895e0,2.618013638e0,1.237028290e-1,1.079996242e0,1.951360063e0,8.050769554e-1,4.114257343e-1,6.466294133e-1,9.444796585e-1,1.759151803e0,1.855781579e0,118283,0,0
7,1.569010291e-2,8.858468747e-6,1.087962572e-3,2.981071624e-4,4.493446317e-10,6.026560814e-1,1.545091183e0,1.228727400e0,2.631512018e0,5.651597059e-1,1.327009416e0,2.607904680e0,1.219506354e0,3.740995670e-1,2.159509020e0,1.439978043e0,1.660779137e0,2.534020386e0,3.297122070e-1,1.156585292e0,1.628835234e-1,1.389875142e0,1.149669819e-1,7.677473497e-1,1.908487427e-1,2.403627524e0,9.583793356e-1,1.157073300e0,1.301363346e0,1.946205372e0,3.543401945e-1,7.426758057e-2,2.091076603e0,3.042620160e0,1.780109182e0,1.624695126e0,2.570120529e0,2.110784825e0,7.963944898e-1,2.367073742e0,1.044785762e0,7.461762309e-1,3.166827507e0,3.062731760e-2,1.563485057e0,1.670353523e0,1.035681922e0,1.196766552e0,5.915833302e-1,1.109012337e0,8.653542932e-1,2.396158788e0,3.678721519e0,1.184079753e0,5.442240243e-1,2.623099142e0,6.581170927e-1,4.356381408e-1,1.153791336e0,2.429837370e0,1.282891948e-1,9.437839090e-1,1.798569270e0,7.085898075e-1,3.648210926e-1,6.216945755e-1,9.438692127e-1,1.736628499e0,1.697023080e0,118283,0,0
8,1.656473635e-2,8.355819977e-6,1.133840702e-3,2.574157818e-4,6.454722421e-10,5.347111837e-1,1.432526699e0,1.097641208e0,2.422899259e0,5.644421388e-1,1.288412519e0,2.437454056e0,1.232977946e0,4.408669686e-1,2.064500333e0,1.305618010e0,1.489365602e0,2.327569203e0,4.026229883e-1,1.167425261e0,1.495078431e-1,1.386482879e0,3.559656232e-2,6.684147184e-1,1.857983901e-1,2.236763953e0,1.009026705e0,1.039289050e0,1.297373935e0,1.802659471e0,2.888269066e-1,7.945183555e-2,1.933060500e0,2.833497867e0,1.708524858e0,1.619884509e0,2.438524794e0,2.075417017e0,7.367626723e-1,2.248151246e0,1.037119067e0,7.374467009e-1,3.035105735e0,6.946452564e-2,1.451902372e0,1.502498259e0,1.068776505e0,1.229856495e0,5.219769665e-1,1.122214185e0,7.895596690e-1,2.282378738e0,3.439970696e0,1.131691144e0,5.526760229e-1,2.473790387e0,6.479149556e-1,4.527372229e-1,1.141504944e0,2.235045579e0,1.385085230e-1,7.895851941e-1,1.632235205e0,5.994001072e-1,3.129929824e-1,6.009943250e-1,9.584985890e-1,1.730674687e0,1.529290774e0,118283,0,0
9,1.719775687e-2,7.906855779e-6,1.080588043e-3,2.286904896e-4,8.339149311e-10,4.952719042e-1,1.342933785e0,1.002432157e0,2.285649171e0,5.646999774e-1,1.247942090e0,2.316838415e0,1.228158758e0,4.764993624e-1,1.995940964e0,1.200827123e0,1.366044492e0,2.186558415e0,4.598447262e-1,1.175007511e0,1.475864954e-1,1.369935009e0,4.723735925e-2,5.933810771e-1,1.905967902e-1,2.118366619e0,1.045617767e0,9.659415136e-1,1.301788059e0,1.710498094e0,2.482773206e-1,7.860808074e-2,1.817928449e0,2.687737384e0,1.666263959e0,1.616265605e0,2.343975880e0,2.040253843e0,6.855720381e-1,2.161418715e0,1.041857797e0,7.355102379e-1,2.942455888e0,1.405784313e-1,1.371361383e0,1.387770039e0,1.085347302e0,1.256121588e0,4.679468599e-1,1.130928633e0,7.250836901e-1,2.194128746e0,3.266025953e0,1.096270843e0,5.477639668e-1,2.363057065e0,6.458363085e-1,4.569007468e-1,1.122628192e0,2.108267745e0,1.471378529e-1,6.851606285e-1,1.512528976e0,5.256791145e-1,2.810983279e-1,5.882170195e-1,9.699195171e-1,1.717563305e0,1.421573463e0,118283,0,0
